Layer,	Type,	DRAM I RD (D) (nJ),	DRAM F RD (D) (nJ),	DRAM O RD (D) (nJ),	DRAM O WR (D) (nJ),	DRAM Total (D) (nJ),	DRAM Total (L) (nJ),	DRAM Total (D+L) (nJ),	SRAM I RD (D) (nJ),	SRAM F RD (D) (nJ),	SRAM O RD (D) (nJ),	SRAM O WR (D) (nJ),	SRAM Total (D) (nJ),	SRAM I (L) (nJ),	SRAM F (L) (nJ),	SRAM O (L) (nJ),	SRAM Total (L) (nJ),	SRAM Total (D+L) (nJ),	IREG (D) (nJ),	IREG (L) (nJ),	IREG Total (D+L) (nJ),	WREG (D) (nJ),	WREG (L) (nJ),	WREG Total (D+L) (nJ),	MUL (D) (nJ),	MUL (L) (nJ),	MUL Total (D+L) (nJ),	ACC (D) (nJ),	ACC (L) (nJ),	ACC Total (D+L) (nJ),	Systolic Array Total (D) (nJ),	Systolic Array Total (L) (nJ),	Systolic Array Total (D+L) (nJ),	System Total (D) (nJ),	System Total (L) (nJ),	System Total (D+L) (nJ),	
RNN4_ptwise1_2,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	338.1574314955414,	382.9964862955414,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	56.62521898598726,	56.62521898598726,	56.62521898598726,	169.87565695796178,	176.03997275796178,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	1.1873515297869444,	2.0626029845435325,	3.2499545143304767,	0.8031590815113334,	2.874773975264765,	3.677933056776099,	2.3920640000000004,	5.841369426751594,	8.233433426751596,	53.395434599999994,	513.8744578802548,	567.2698924802548,	
RNN4_ptwise2_2,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	338.1574314955414,	382.9964862955414,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	56.62521898598726,	56.62521898598726,	56.62521898598726,	169.87565695796178,	176.03997275796178,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	1.1873515297869444,	2.0626029845435325,	3.2499545143304767,	0.8031590815113334,	2.874773975264765,	3.677933056776099,	2.3920640000000004,	5.841369426751594,	8.233433426751596,	53.395434599999994,	513.8744578802548,	567.2698924802548,	
RNN4_FG_3,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	17318.653421090446,	24139.59866789045,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	2900.0472891414015,	2900.0472891414015,	2900.0472891414015,	8700.141867424205,	9820.878188124205,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	32.0584913042475,	105.63572734934024,	137.69421865358774,	21.685295200806003,	147.23087386070753,	168.91616906151353,	63.78262122259656,	299.164363057325,	362.94698427992154,	8005.464188722597,	26317.959651571975,	34323.42384029457,	
RNN4_NG_3,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	17318.653421090446,	24139.59866789045,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	2900.0472891414015,	2900.0472891414015,	2900.0472891414015,	8700.141867424205,	9820.878188124205,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	32.0584913042475,	105.63572734934024,	137.69421865358774,	21.685295200806003,	147.23087386070753,	168.91616906151353,	63.78262122259656,	299.164363057325,	362.94698427992154,	8005.464188722597,	26317.959651571975,	34323.42384029457,	
RNN4_ptwise1_3,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	338.1574314955414,	382.9964862955414,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	56.62521898598726,	56.62521898598726,	56.62521898598726,	169.87565695796178,	176.03997275796178,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	1.1873515297869444,	2.0626029845435325,	3.2499545143304767,	0.8031590815113334,	2.874773975264765,	3.677933056776099,	2.3920640000000004,	5.841369426751594,	8.233433426751596,	53.395434599999994,	513.8744578802548,	567.2698924802548,	
RNN4_ptwise2_3,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	338.1574314955414,	382.9964862955414,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	56.62521898598726,	56.62521898598726,	56.62521898598726,	169.87565695796178,	176.03997275796178,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	1.1873515297869444,	2.0626029845435325,	3.2499545143304767,	0.8031590815113334,	2.874773975264765,	3.677933056776099,	2.3920640000000004,	5.841369426751594,	8.233433426751596,	53.395434599999994,	513.8744578802548,	567.2698924802548,	
RNN4_FG_4,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	17318.653421090446,	24139.59866789045,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	2900.0472891414015,	2900.0472891414015,	2900.0472891414015,	8700.141867424205,	9820.878188124205,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	32.0584913042475,	105.63572734934024,	137.69421865358774,	21.685295200806003,	147.23087386070753,	168.91616906151353,	63.78262122259656,	299.164363057325,	362.94698427992154,	8005.464188722597,	26317.959651571975,	34323.42384029457,	
RNN4_NG_4,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	17318.653421090446,	24139.59866789045,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	2900.0472891414015,	2900.0472891414015,	2900.0472891414015,	8700.141867424205,	9820.878188124205,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	32.0584913042475,	105.63572734934024,	137.69421865358774,	21.685295200806003,	147.23087386070753,	168.91616906151353,	63.78262122259656,	299.164363057325,	362.94698427992154,	8005.464188722597,	26317.959651571975,	34323.42384029457,	
RNN4_ptwise1_4,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	338.1574314955414,	382.9964862955414,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	56.62521898598726,	56.62521898598726,	56.62521898598726,	169.87565695796178,	176.03997275796178,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	1.1873515297869444,	2.0626029845435325,	3.2499545143304767,	0.8031590815113334,	2.874773975264765,	3.677933056776099,	2.3920640000000004,	5.841369426751594,	8.233433426751596,	53.395434599999994,	513.8744578802548,	567.2698924802548,	
RNN4_ptwise2_4,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	338.1574314955414,	382.9964862955414,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	56.62521898598726,	56.62521898598726,	56.62521898598726,	169.87565695796178,	176.03997275796178,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	1.1873515297869444,	2.0626029845435325,	3.2499545143304767,	0.8031590815113334,	2.874773975264765,	3.677933056776099,	2.3920640000000004,	5.841369426751594,	8.233433426751596,	53.395434599999994,	513.8744578802548,	567.2698924802548,	
RNN4_FG_5,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	17318.653421090446,	24139.59866789045,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	2900.0472891414015,	2900.0472891414015,	2900.0472891414015,	8700.141867424205,	9820.878188124205,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	32.0584913042475,	105.63572734934024,	137.69421865358774,	21.685295200806003,	147.23087386070753,	168.91616906151353,	63.78262122259656,	299.164363057325,	362.94698427992154,	8005.464188722597,	26317.959651571975,	34323.42384029457,	
RNN4_NG_5,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	17318.653421090446,	24139.59866789045,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	2900.0472891414015,	2900.0472891414015,	2900.0472891414015,	8700.141867424205,	9820.878188124205,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	32.0584913042475,	105.63572734934024,	137.69421865358774,	21.685295200806003,	147.23087386070753,	168.91616906151353,	63.78262122259656,	299.164363057325,	362.94698427992154,	8005.464188722597,	26317.959651571975,	34323.42384029457,	
RNN4_ptwise1_5,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	338.1574314955414,	382.9964862955414,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	56.62521898598726,	56.62521898598726,	56.62521898598726,	169.87565695796178,	176.03997275796178,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	1.1873515297869444,	2.0626029845435325,	3.2499545143304767,	0.8031590815113334,	2.874773975264765,	3.677933056776099,	2.3920640000000004,	5.841369426751594,	8.233433426751596,	53.395434599999994,	513.8744578802548,	567.2698924802548,	
RNN4_ptwise2_5,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	338.1574314955414,	382.9964862955414,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	56.62521898598726,	56.62521898598726,	56.62521898598726,	169.87565695796178,	176.03997275796178,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	1.1873515297869444,	2.0626029845435325,	3.2499545143304767,	0.8031590815113334,	2.874773975264765,	3.677933056776099,	2.3920640000000004,	5.841369426751594,	8.233433426751596,	53.395434599999994,	513.8744578802548,	567.2698924802548,	
RNN4_FG_6,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	17318.653421090446,	24139.59866789045,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	2900.0472891414015,	2900.0472891414015,	2900.0472891414015,	8700.141867424205,	9820.878188124205,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	32.0584913042475,	105.63572734934024,	137.69421865358774,	21.685295200806003,	147.23087386070753,	168.91616906151353,	63.78262122259656,	299.164363057325,	362.94698427992154,	8005.464188722597,	26317.959651571975,	34323.42384029457,	
RNN4_NG_6,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	17318.653421090446,	24139.59866789045,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	2900.0472891414015,	2900.0472891414015,	2900.0472891414015,	8700.141867424205,	9820.878188124205,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	32.0584913042475,	105.63572734934024,	137.69421865358774,	21.685295200806003,	147.23087386070753,	168.91616906151353,	63.78262122259656,	299.164363057325,	362.94698427992154,	8005.464188722597,	26317.959651571975,	34323.42384029457,	
RNN4_ptwise1_6,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	338.1574314955414,	382.9964862955414,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	56.62521898598726,	56.62521898598726,	56.62521898598726,	169.87565695796178,	176.03997275796178,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	1.1873515297869444,	2.0626029845435325,	3.2499545143304767,	0.8031590815113334,	2.874773975264765,	3.677933056776099,	2.3920640000000004,	5.841369426751594,	8.233433426751596,	53.395434599999994,	513.8744578802548,	567.2698924802548,	
RNN4_ptwise2_6,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	338.1574314955414,	382.9964862955414,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	56.62521898598726,	56.62521898598726,	56.62521898598726,	169.87565695796178,	176.03997275796178,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	1.1873515297869444,	2.0626029845435325,	3.2499545143304767,	0.8031590815113334,	2.874773975264765,	3.677933056776099,	2.3920640000000004,	5.841369426751594,	8.233433426751596,	53.395434599999994,	513.8744578802548,	567.2698924802548,	
RNN4_FG_7,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	17318.653421090446,	24139.59866789045,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	2900.0472891414015,	2900.0472891414015,	2900.0472891414015,	8700.141867424205,	9820.878188124205,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	32.0584913042475,	105.63572734934024,	137.69421865358774,	21.685295200806003,	147.23087386070753,	168.91616906151353,	63.78262122259656,	299.164363057325,	362.94698427992154,	8005.464188722597,	26317.959651571975,	34323.42384029457,	
RNN4_NG_7,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	17318.653421090446,	24139.59866789045,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	2900.0472891414015,	2900.0472891414015,	2900.0472891414015,	8700.141867424205,	9820.878188124205,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	32.0584913042475,	105.63572734934024,	137.69421865358774,	21.685295200806003,	147.23087386070753,	168.91616906151353,	63.78262122259656,	299.164363057325,	362.94698427992154,	8005.464188722597,	26317.959651571975,	34323.42384029457,	
RNN4_ptwise1_7,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	338.1574314955414,	382.9964862955414,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	56.62521898598726,	56.62521898598726,	56.62521898598726,	169.87565695796178,	176.03997275796178,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	1.1873515297869444,	2.0626029845435325,	3.2499545143304767,	0.8031590815113334,	2.874773975264765,	3.677933056776099,	2.3920640000000004,	5.841369426751594,	8.233433426751596,	53.395434599999994,	513.8744578802548,	567.2698924802548,	
RNN4_ptwise2_7,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	338.1574314955414,	382.9964862955414,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	56.62521898598726,	56.62521898598726,	56.62521898598726,	169.87565695796178,	176.03997275796178,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	1.1873515297869444,	2.0626029845435325,	3.2499545143304767,	0.8031590815113334,	2.874773975264765,	3.677933056776099,	2.3920640000000004,	5.841369426751594,	8.233433426751596,	53.395434599999994,	513.8744578802548,	567.2698924802548,	
RNN4_FG_8,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	17318.653421090446,	24139.59866789045,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	2900.0472891414015,	2900.0472891414015,	2900.0472891414015,	8700.141867424205,	9820.878188124205,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	32.0584913042475,	105.63572734934024,	137.69421865358774,	21.685295200806003,	147.23087386070753,	168.91616906151353,	63.78262122259656,	299.164363057325,	362.94698427992154,	8005.464188722597,	26317.959651571975,	34323.42384029457,	
RNN4_NG_8,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	17318.653421090446,	24139.59866789045,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	2900.0472891414015,	2900.0472891414015,	2900.0472891414015,	8700.141867424205,	9820.878188124205,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	32.0584913042475,	105.63572734934024,	137.69421865358774,	21.685295200806003,	147.23087386070753,	168.91616906151353,	63.78262122259656,	299.164363057325,	362.94698427992154,	8005.464188722597,	26317.959651571975,	34323.42384029457,	
RNN4_ptwise1_8,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	338.1574314955414,	382.9964862955414,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	56.62521898598726,	56.62521898598726,	56.62521898598726,	169.87565695796178,	176.03997275796178,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	1.1873515297869444,	2.0626029845435325,	3.2499545143304767,	0.8031590815113334,	2.874773975264765,	3.677933056776099,	2.3920640000000004,	5.841369426751594,	8.233433426751596,	53.395434599999994,	513.8744578802548,	567.2698924802548,	
RNN4_ptwise2_8,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	338.1574314955414,	382.9964862955414,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	56.62521898598726,	56.62521898598726,	56.62521898598726,	169.87565695796178,	176.03997275796178,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	1.1873515297869444,	2.0626029845435325,	3.2499545143304767,	0.8031590815113334,	2.874773975264765,	3.677933056776099,	2.3920640000000004,	5.841369426751594,	8.233433426751596,	53.395434599999994,	513.8744578802548,	567.2698924802548,	
RNN4_FG_9,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	17318.653421090446,	24139.59866789045,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	2900.0472891414015,	2900.0472891414015,	2900.0472891414015,	8700.141867424205,	9820.878188124205,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	32.0584913042475,	105.63572734934024,	137.69421865358774,	21.685295200806003,	147.23087386070753,	168.91616906151353,	63.78262122259656,	299.164363057325,	362.94698427992154,	8005.464188722597,	26317.959651571975,	34323.42384029457,	
RNN4_NG_9,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	17318.653421090446,	24139.59866789045,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	2900.0472891414015,	2900.0472891414015,	2900.0472891414015,	8700.141867424205,	9820.878188124205,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	5.0194173587715305,	23.148880923638586,	28.168298282410117,	32.0584913042475,	105.63572734934024,	137.69421865358774,	21.685295200806003,	147.23087386070753,	168.91616906151353,	63.78262122259656,	299.164363057325,	362.94698427992154,	8005.464188722597,	26317.959651571975,	34323.42384029457,	
RNN4_ptwise1_9,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	338.1574314955414,	382.9964862955414,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	56.62521898598726,	56.62521898598726,	56.62521898598726,	169.87565695796178,	176.03997275796178,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	1.1873515297869444,	2.0626029845435325,	3.2499545143304767,	0.8031590815113334,	2.874773975264765,	3.677933056776099,	2.3920640000000004,	5.841369426751594,	8.233433426751596,	53.395434599999994,	513.8744578802548,	567.2698924802548,	
RNN4_ptwise2_9,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	338.1574314955414,	382.9964862955414,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	56.62521898598726,	56.62521898598726,	56.62521898598726,	169.87565695796178,	176.03997275796178,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	0.20077669435086123,	0.45199623347164847,	0.6527729278225097,	1.1873515297869444,	2.0626029845435325,	3.2499545143304767,	0.8031590815113334,	2.874773975264765,	3.677933056776099,	2.3920640000000004,	5.841369426751594,	8.233433426751596,	53.395434599999994,	513.8744578802548,	567.2698924802548,	
FC5,	GEMM,	21.0823916,	104.73807160000001,	0.0,	2.6742716,	128.4947348,	465.2501574267516,	593.7448922267516,	2.818019,	14.090095,	1.0833225,	1.3847349,	19.376171400000004,	77.90718048407643,	77.90718048407643,	77.90718048407643,	233.7215414522293,	253.0977128522293,	0.20077669435086123,	0.62187401249455,	0.8226507068454112,	0.20077669435086123,	0.62187401249455,	0.8226507068454112,	1.1873515297869444,	2.8378094753786858,	4.02516100516563,	0.8031590815113334,	3.9552259391226636,	4.758385020633997,	2.3920640000000004,	8.03678343949045,	10.42884743949045,	150.2629702,	707.0084823184715,	857.2714525184715,	
FC6,	GEMM,	21.0823916,	41.9963116,	0.0,	2.6742716,	65.7529748,	369.93061297834396,	435.68358777834396,	2.818019,	5.636038,	0.433329,	0.5798937,	9.4672797,	61.945709360509554,	61.945709360509554,	61.945709360509554,	185.83712808152865,	195.30440778152865,	0.20077669435086123,	0.4944656782273738,	0.6952423725782351,	0.20077669435086123,	0.4944656782273738,	0.6952423725782351,	1.1873515297869444,	2.2564046072523207,	3.443756137039265,	0.8031590815113334,	3.1448869662292394,	3.948046047740573,	2.3920640000000004,	6.390222929936307,	8.782286929936308,	77.61231850000001,	562.1579639898089,	639.7702824898089,	
eyeriss_08b_bp_001c_uBrain_t1_ddr3_w__spm,	All,	20190.344659200036,	3103701.682111204,	0.0,	12100.151703200012,	3135992.178473599,	5532636.857444839,	8668629.035918443,	35350.155021,	416931.3649359994,	39957.05042550007,	42170.316258599974,	534408.8866410994,	926452.4284952463,	926452.4284952463,	926452.4284952463,	2779357.2854857356,	3313766.1721268413,	2301.678926951475,	7395.168012933243,	9696.8469398847,	2217.03900173919,	7395.168012933243,	9612.207014672416,	15214.57408374868,	33746.510446604734,	48961.084530353364,	10291.580075601061,	47034.543591223184,	57326.12366682414,	30024.87208804036,	95571.39006369429,	125596.26215173453,	3700425.937202733,	8407565.53299427,	12107991.470197001,	
