Layer,	Type,	DRAM I RD (D) (nJ),	DRAM F RD (D) (nJ),	DRAM O RD (D) (nJ),	DRAM O WR (D) (nJ),	DRAM Total (D) (nJ),	DRAM Total (L) (nJ),	DRAM Total (D+L) (nJ),	SRAM I RD (D) (nJ),	SRAM F RD (D) (nJ),	SRAM O RD (D) (nJ),	SRAM O WR (D) (nJ),	SRAM Total (D) (nJ),	SRAM I (L) (nJ),	SRAM F (L) (nJ),	SRAM O (L) (nJ),	SRAM Total (L) (nJ),	SRAM Total (D+L) (nJ),	IREG (D) (nJ),	IREG (L) (nJ),	IREG Total (D+L) (nJ),	WREG (D) (nJ),	WREG (L) (nJ),	WREG Total (D+L) (nJ),	MUL (D) (nJ),	MUL (L) (nJ),	MUL Total (D+L) (nJ),	ACC (D) (nJ),	ACC (L) (nJ),	ACC Total (D+L) (nJ),	Systolic Array Total (D) (nJ),	Systolic Array Total (L) (nJ),	Systolic Array Total (D+L) (nJ),	System Total (D) (nJ),	System Total (L) (nJ),	System Total (D+L) (nJ),	
Conv1_5,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	3189.0061400400004,	3634.17090644,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	534.0062178400001,	534.0062178400001,	534.0062178400001,	1602.0186535200003,	1629.9586268200003,	0.5019417358771531,	4.2625671641791065,	4.76450890005626,	0.056468445286179725,	4.2625671641791065,	4.319035609465287,	2.968378824467361,	19.451453582089563,	22.419832406556925,	2.0078977037783337,	27.11066208955225,	29.118559793330583,	5.534686709409028,	55.087250000000026,	60.621936709409056,	478.639426409409,	4846.1120435600005,	5324.751469969409,	
Conv2_5,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	44467.92919296,	47272.21934896,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	7446.254300160001,	7446.254300160001,	7446.254300160001,	22338.762900480004,	24300.958031780003,	9.373761917505833,	59.43780805469861,	68.81156997220444,	1.3552426868683134,	59.43780805469861,	60.79305074156692,	55.43447454692796,	271.2336767647796,	326.66815131170756,	37.497489618060385,	378.0347071258235,	415.5321967438839,	103.6609687693625,	768.1440000000003,	871.8049687693629,	4870.146256069363,	67574.83609344001,	72444.98234950937,	
Conv1_6,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	3189.0061400400004,	3634.17090644,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	534.0062178400001,	534.0062178400001,	534.0062178400001,	1602.0186535200003,	1629.9586268200003,	0.5019417358771531,	4.2625671641791065,	4.76450890005626,	0.056468445286179725,	4.2625671641791065,	4.319035609465287,	2.968378824467361,	19.451453582089563,	22.419832406556925,	2.0078977037783337,	27.11066208955225,	29.118559793330583,	5.534686709409028,	55.087250000000026,	60.621936709409056,	478.639426409409,	4846.1120435600005,	5324.751469969409,	
Conv2_6,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	44467.92919296,	47272.21934896,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	7446.254300160001,	7446.254300160001,	7446.254300160001,	22338.762900480004,	24300.958031780003,	9.373761917505833,	59.43780805469861,	68.81156997220444,	1.3552426868683134,	59.43780805469861,	60.79305074156692,	55.43447454692796,	271.2336767647796,	326.66815131170756,	37.497489618060385,	378.0347071258235,	415.5321967438839,	103.6609687693625,	768.1440000000003,	871.8049687693629,	4870.146256069363,	67574.83609344001,	72444.98234950937,	
Conv1_7,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	3189.0061400400004,	3634.17090644,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	534.0062178400001,	534.0062178400001,	534.0062178400001,	1602.0186535200003,	1629.9586268200003,	0.5019417358771531,	4.2625671641791065,	4.76450890005626,	0.056468445286179725,	4.2625671641791065,	4.319035609465287,	2.968378824467361,	19.451453582089563,	22.419832406556925,	2.0078977037783337,	27.11066208955225,	29.118559793330583,	5.534686709409028,	55.087250000000026,	60.621936709409056,	478.639426409409,	4846.1120435600005,	5324.751469969409,	
Conv2_7,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	44467.92919296,	47272.21934896,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	7446.254300160001,	7446.254300160001,	7446.254300160001,	22338.762900480004,	24300.958031780003,	9.373761917505833,	59.43780805469861,	68.81156997220444,	1.3552426868683134,	59.43780805469861,	60.79305074156692,	55.43447454692796,	271.2336767647796,	326.66815131170756,	37.497489618060385,	378.0347071258235,	415.5321967438839,	103.6609687693625,	768.1440000000003,	871.8049687693629,	4870.146256069363,	67574.83609344001,	72444.98234950937,	
Conv1_8,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	3189.0061400400004,	3634.17090644,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	534.0062178400001,	534.0062178400001,	534.0062178400001,	1602.0186535200003,	1629.9586268200003,	0.5019417358771531,	4.2625671641791065,	4.76450890005626,	0.056468445286179725,	4.2625671641791065,	4.319035609465287,	2.968378824467361,	19.451453582089563,	22.419832406556925,	2.0078977037783337,	27.11066208955225,	29.118559793330583,	5.534686709409028,	55.087250000000026,	60.621936709409056,	478.639426409409,	4846.1120435600005,	5324.751469969409,	
Conv2_8,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	44467.92919296,	47272.21934896,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	7446.254300160001,	7446.254300160001,	7446.254300160001,	22338.762900480004,	24300.958031780003,	9.373761917505833,	59.43780805469861,	68.81156997220444,	1.3552426868683134,	59.43780805469861,	60.79305074156692,	55.43447454692796,	271.2336767647796,	326.66815131170756,	37.497489618060385,	378.0347071258235,	415.5321967438839,	103.6609687693625,	768.1440000000003,	871.8049687693629,	4870.146256069363,	67574.83609344001,	72444.98234950937,	
Conv1_9,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	3189.0061400400004,	3634.17090644,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	534.0062178400001,	534.0062178400001,	534.0062178400001,	1602.0186535200003,	1629.9586268200003,	0.5019417358771531,	4.2625671641791065,	4.76450890005626,	0.056468445286179725,	4.2625671641791065,	4.319035609465287,	2.968378824467361,	19.451453582089563,	22.419832406556925,	2.0078977037783337,	27.11066208955225,	29.118559793330583,	5.534686709409028,	55.087250000000026,	60.621936709409056,	478.639426409409,	4846.1120435600005,	5324.751469969409,	
Conv2_9,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	44467.92919296,	47272.21934896,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	7446.254300160001,	7446.254300160001,	7446.254300160001,	22338.762900480004,	24300.958031780003,	9.373761917505833,	59.43780805469861,	68.81156997220444,	1.3552426868683134,	59.43780805469861,	60.79305074156692,	55.43447454692796,	271.2336767647796,	326.66815131170756,	37.497489618060385,	378.0347071258235,	415.5321967438839,	103.6609687693625,	768.1440000000003,	871.8049687693629,	4870.146256069363,	67574.83609344001,	72444.98234950937,	
FC3_0,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	1984969.25756892,	2281568.02711972,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	332387.54621832,	332387.54621832,	332387.54621832,	997162.6386549601,	1046356.7065963601,	209.81164559664998,	2653.1980208454943,	2863.0096664421444,	209.81164559664998,	2653.1980208454943,	2863.0096664421444,	1396.3253990294465,	12107.388847797054,	13503.714246826501,	944.5150798573281,	16874.79686051197,	17819.311940369298,	2760.463770080075,	34288.58175000001,	37049.045520080086,	348553.3012622801,	3016420.4779738802,	3364973.77923616,	
FC3_1,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	1984969.25756892,	2281568.02711972,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	332387.54621832,	332387.54621832,	332387.54621832,	997162.6386549601,	1046356.7065963601,	209.81164559664998,	2653.1980208454943,	2863.0096664421444,	209.81164559664998,	2653.1980208454943,	2863.0096664421444,	1396.3253990294465,	12107.388847797054,	13503.714246826501,	944.5150798573281,	16874.79686051197,	17819.311940369298,	2760.463770080075,	34288.58175000001,	37049.045520080086,	348553.3012622801,	3016420.4779738802,	3364973.77923616,	
FC3_2,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	1984969.25756892,	2281568.02711972,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	332387.54621832,	332387.54621832,	332387.54621832,	997162.6386549601,	1046356.7065963601,	209.81164559664998,	2653.1980208454943,	2863.0096664421444,	209.81164559664998,	2653.1980208454943,	2863.0096664421444,	1396.3253990294465,	12107.388847797054,	13503.714246826501,	944.5150798573281,	16874.79686051197,	17819.311940369298,	2760.463770080075,	34288.58175000001,	37049.045520080086,	348553.3012622801,	3016420.4779738802,	3364973.77923616,	
FC3_3,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	1984969.25756892,	2281568.02711972,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	332387.54621832,	332387.54621832,	332387.54621832,	997162.6386549601,	1046356.7065963601,	209.81164559664998,	2653.1980208454943,	2863.0096664421444,	209.81164559664998,	2653.1980208454943,	2863.0096664421444,	1396.3253990294465,	12107.388847797054,	13503.714246826501,	944.5150798573281,	16874.79686051197,	17819.311940369298,	2760.463770080075,	34288.58175000001,	37049.045520080086,	348553.3012622801,	3016420.4779738802,	3364973.77923616,	
FC3_4,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	1984969.25756892,	2281568.02711972,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	332387.54621832,	332387.54621832,	332387.54621832,	997162.6386549601,	1046356.7065963601,	209.81164559664998,	2653.1980208454943,	2863.0096664421444,	209.81164559664998,	2653.1980208454943,	2863.0096664421444,	1396.3253990294465,	12107.388847797054,	13503.714246826501,	944.5150798573281,	16874.79686051197,	17819.311940369298,	2760.463770080075,	34288.58175000001,	37049.045520080086,	348553.3012622801,	3016420.4779738802,	3364973.77923616,	
FC3_5,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	1984969.25756892,	2281568.02711972,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	332387.54621832,	332387.54621832,	332387.54621832,	997162.6386549601,	1046356.7065963601,	209.81164559664998,	2653.1980208454943,	2863.0096664421444,	209.81164559664998,	2653.1980208454943,	2863.0096664421444,	1396.3253990294465,	12107.388847797054,	13503.714246826501,	944.5150798573281,	16874.79686051197,	17819.311940369298,	2760.463770080075,	34288.58175000001,	37049.045520080086,	348553.3012622801,	3016420.4779738802,	3364973.77923616,	
FC3_6,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	1984969.25756892,	2281568.02711972,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	332387.54621832,	332387.54621832,	332387.54621832,	997162.6386549601,	1046356.7065963601,	209.81164559664998,	2653.1980208454943,	2863.0096664421444,	209.81164559664998,	2653.1980208454943,	2863.0096664421444,	1396.3253990294465,	12107.388847797054,	13503.714246826501,	944.5150798573281,	16874.79686051197,	17819.311940369298,	2760.463770080075,	34288.58175000001,	37049.045520080086,	348553.3012622801,	3016420.4779738802,	3364973.77923616,	
FC3_7,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	1984969.25756892,	2281568.02711972,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	332387.54621832,	332387.54621832,	332387.54621832,	997162.6386549601,	1046356.7065963601,	209.81164559664998,	2653.1980208454943,	2863.0096664421444,	209.81164559664998,	2653.1980208454943,	2863.0096664421444,	1396.3253990294465,	12107.388847797054,	13503.714246826501,	944.5150798573281,	16874.79686051197,	17819.311940369298,	2760.463770080075,	34288.58175000001,	37049.045520080086,	348553.3012622801,	3016420.4779738802,	3364973.77923616,	
FC3_8,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	1984969.25756892,	2281568.02711972,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	332387.54621832,	332387.54621832,	332387.54621832,	997162.6386549601,	1046356.7065963601,	209.81164559664998,	2653.1980208454943,	2863.0096664421444,	209.81164559664998,	2653.1980208454943,	2863.0096664421444,	1396.3253990294465,	12107.388847797054,	13503.714246826501,	944.5150798573281,	16874.79686051197,	17819.311940369298,	2760.463770080075,	34288.58175000001,	37049.045520080086,	348553.3012622801,	3016420.4779738802,	3364973.77923616,	
FC3_9,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	1984969.25756892,	2281568.02711972,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	332387.54621832,	332387.54621832,	332387.54621832,	997162.6386549601,	1046356.7065963601,	209.81164559664998,	2653.1980208454943,	2863.0096664421444,	209.81164559664998,	2653.1980208454943,	2863.0096664421444,	1396.3253990294465,	12107.388847797054,	13503.714246826501,	944.5150798573281,	16874.79686051197,	17819.311940369298,	2760.463770080075,	34288.58175000001,	37049.045520080086,	348553.3012622801,	3016420.4779738802,	3364973.77923616,	
RNN4_FG_0,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	67975.71467778,	74796.65992457999,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	11382.68560988,	11382.68560988,	11382.68560988,	34148.05682964,	35268.79315034,	5.0194173587715305,	90.85935762528145,	95.87877498405298,	5.0194173587715305,	90.85935762528145,	95.87877498405298,	32.0584913042475,	414.62022984616044,	446.6787211504079,	21.685295200806003,	577.881179903277,	599.566475104083,	63.78262122259656,	1174.2201250000003,	1238.002746222597,	8005.464188722597,	103297.99163242,	111303.4558211426,	
RNN4_NG_0,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	67975.71467778,	74796.65992457999,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	11382.68560988,	11382.68560988,	11382.68560988,	34148.05682964,	35268.79315034,	5.0194173587715305,	90.85935762528145,	95.87877498405298,	5.0194173587715305,	90.85935762528145,	95.87877498405298,	32.0584913042475,	414.62022984616044,	446.6787211504079,	21.685295200806003,	577.881179903277,	599.566475104083,	63.78262122259656,	1174.2201250000003,	1238.002746222597,	8005.464188722597,	103297.99163242,	111303.4558211426,	
RNN4_ptwise1_0,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	1327.26791862,	1372.10697342,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	222.25398452,	222.25398452,	222.25398452,	666.7619535599999,	672.92626936,	0.20077669435086123,	1.7740852163762202,	1.9748619107270815,	0.20077669435086123,	1.7740852163762202,	1.9748619107270815,	1.1873515297869444,	8.095716714333365,	9.28306824412031,	0.8031590815113334,	11.283487852914202,	12.086646934425536,	2.3920640000000004,	22.92737500000001,	25.31943900000001,	53.395434599999994,	2016.95724718,	2070.35268178,	
RNN4_ptwise2_0,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	1327.26791862,	1372.10697342,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	222.25398452,	222.25398452,	222.25398452,	666.7619535599999,	672.92626936,	0.20077669435086123,	1.7740852163762202,	1.9748619107270815,	0.20077669435086123,	1.7740852163762202,	1.9748619107270815,	1.1873515297869444,	8.095716714333365,	9.28306824412031,	0.8031590815113334,	11.283487852914202,	12.086646934425536,	2.3920640000000004,	22.92737500000001,	25.31943900000001,	53.395434599999994,	2016.95724718,	2070.35268178,	
RNN4_FG_1,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	67975.71467778,	74796.65992457999,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	11382.68560988,	11382.68560988,	11382.68560988,	34148.05682964,	35268.79315034,	5.0194173587715305,	90.85935762528145,	95.87877498405298,	5.0194173587715305,	90.85935762528145,	95.87877498405298,	32.0584913042475,	414.62022984616044,	446.6787211504079,	21.685295200806003,	577.881179903277,	599.566475104083,	63.78262122259656,	1174.2201250000003,	1238.002746222597,	8005.464188722597,	103297.99163242,	111303.4558211426,	
RNN4_NG_1,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	67975.71467778,	74796.65992457999,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	11382.68560988,	11382.68560988,	11382.68560988,	34148.05682964,	35268.79315034,	5.0194173587715305,	90.85935762528145,	95.87877498405298,	5.0194173587715305,	90.85935762528145,	95.87877498405298,	32.0584913042475,	414.62022984616044,	446.6787211504079,	21.685295200806003,	577.881179903277,	599.566475104083,	63.78262122259656,	1174.2201250000003,	1238.002746222597,	8005.464188722597,	103297.99163242,	111303.4558211426,	
RNN4_ptwise1_1,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	1327.26791862,	1372.10697342,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	222.25398452,	222.25398452,	222.25398452,	666.7619535599999,	672.92626936,	0.20077669435086123,	1.7740852163762202,	1.9748619107270815,	0.20077669435086123,	1.7740852163762202,	1.9748619107270815,	1.1873515297869444,	8.095716714333365,	9.28306824412031,	0.8031590815113334,	11.283487852914202,	12.086646934425536,	2.3920640000000004,	22.92737500000001,	25.31943900000001,	53.395434599999994,	2016.95724718,	2070.35268178,	
RNN4_ptwise2_1,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	1327.26791862,	1372.10697342,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	222.25398452,	222.25398452,	222.25398452,	666.7619535599999,	672.92626936,	0.20077669435086123,	1.7740852163762202,	1.9748619107270815,	0.20077669435086123,	1.7740852163762202,	1.9748619107270815,	1.1873515297869444,	8.095716714333365,	9.28306824412031,	0.8031590815113334,	11.283487852914202,	12.086646934425536,	2.3920640000000004,	22.92737500000001,	25.31943900000001,	53.395434599999994,	2016.95724718,	2070.35268178,	
RNN4_FG_2,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	67975.71467778,	74796.65992457999,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	11382.68560988,	11382.68560988,	11382.68560988,	34148.05682964,	35268.79315034,	5.0194173587715305,	90.85935762528145,	95.87877498405298,	5.0194173587715305,	90.85935762528145,	95.87877498405298,	32.0584913042475,	414.62022984616044,	446.6787211504079,	21.685295200806003,	577.881179903277,	599.566475104083,	63.78262122259656,	1174.2201250000003,	1238.002746222597,	8005.464188722597,	103297.99163242,	111303.4558211426,	
RNN4_NG_2,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	67975.71467778,	74796.65992457999,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	11382.68560988,	11382.68560988,	11382.68560988,	34148.05682964,	35268.79315034,	5.0194173587715305,	90.85935762528145,	95.87877498405298,	5.0194173587715305,	90.85935762528145,	95.87877498405298,	32.0584913042475,	414.62022984616044,	446.6787211504079,	21.685295200806003,	577.881179903277,	599.566475104083,	63.78262122259656,	1174.2201250000003,	1238.002746222597,	8005.464188722597,	103297.99163242,	111303.4558211426,	
RNN4_ptwise1_2,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	1327.26791862,	1372.10697342,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	222.25398452,	222.25398452,	222.25398452,	666.7619535599999,	672.92626936,	0.20077669435086123,	1.7740852163762202,	1.9748619107270815,	0.20077669435086123,	1.7740852163762202,	1.9748619107270815,	1.1873515297869444,	8.095716714333365,	9.28306824412031,	0.8031590815113334,	11.283487852914202,	12.086646934425536,	2.3920640000000004,	22.92737500000001,	25.31943900000001,	53.395434599999994,	2016.95724718,	2070.35268178,	
