Layer,	Type,	Cycle Total (Cycles),	Time Total (Secs),	Throughput (Frames/sec),	
RNN4_ptwise1_2,	GEMM,	149.0,	3.481308411214953e-05,	28724.8322147651,	
RNN4_ptwise2_2,	GEMM,	149.0,	3.481308411214953e-05,	28724.8322147651,	
RNN4_FG_3,	GEMM,	7631.0,	0.0017829439252336448,	560.8701349757567,	
RNN4_NG_3,	GEMM,	7631.0,	0.0017829439252336448,	560.8701349757567,	
RNN4_ptwise1_3,	GEMM,	149.0,	3.481308411214953e-05,	28724.8322147651,	
RNN4_ptwise2_3,	GEMM,	149.0,	3.481308411214953e-05,	28724.8322147651,	
RNN4_FG_4,	GEMM,	7631.0,	0.0017829439252336448,	560.8701349757567,	
RNN4_NG_4,	GEMM,	7631.0,	0.0017829439252336448,	560.8701349757567,	
RNN4_ptwise1_4,	GEMM,	149.0,	3.481308411214953e-05,	28724.8322147651,	
RNN4_ptwise2_4,	GEMM,	149.0,	3.481308411214953e-05,	28724.8322147651,	
RNN4_FG_5,	GEMM,	7631.0,	0.0017829439252336448,	560.8701349757567,	
RNN4_NG_5,	GEMM,	7631.0,	0.0017829439252336448,	560.8701349757567,	
RNN4_ptwise1_5,	GEMM,	149.0,	3.481308411214953e-05,	28724.8322147651,	
RNN4_ptwise2_5,	GEMM,	149.0,	3.481308411214953e-05,	28724.8322147651,	
RNN4_FG_6,	GEMM,	7631.0,	0.0017829439252336448,	560.8701349757567,	
RNN4_NG_6,	GEMM,	7631.0,	0.0017829439252336448,	560.8701349757567,	
RNN4_ptwise1_6,	GEMM,	149.0,	3.481308411214953e-05,	28724.8322147651,	
RNN4_ptwise2_6,	GEMM,	149.0,	3.481308411214953e-05,	28724.8322147651,	
RNN4_FG_7,	GEMM,	7631.0,	0.0017829439252336448,	560.8701349757567,	
RNN4_NG_7,	GEMM,	7631.0,	0.0017829439252336448,	560.8701349757567,	
RNN4_ptwise1_7,	GEMM,	149.0,	3.481308411214953e-05,	28724.8322147651,	
RNN4_ptwise2_7,	GEMM,	149.0,	3.481308411214953e-05,	28724.8322147651,	
RNN4_FG_8,	GEMM,	7631.0,	0.0017829439252336448,	560.8701349757567,	
RNN4_NG_8,	GEMM,	7631.0,	0.0017829439252336448,	560.8701349757567,	
RNN4_ptwise1_8,	GEMM,	149.0,	3.481308411214953e-05,	28724.8322147651,	
RNN4_ptwise2_8,	GEMM,	149.0,	3.481308411214953e-05,	28724.8322147651,	
RNN4_FG_9,	GEMM,	7631.0,	0.0017829439252336448,	560.8701349757567,	
RNN4_NG_9,	GEMM,	7631.0,	0.0017829439252336448,	560.8701349757567,	
RNN4_ptwise1_9,	GEMM,	149.0,	3.481308411214953e-05,	28724.8322147651,	
RNN4_ptwise2_9,	GEMM,	149.0,	3.481308411214953e-05,	28724.8322147651,	
FC5,	GEMM,	205.0,	4.789719626168224e-05,	20878.048780487807,	
FC6,	GEMM,	163.0,	3.8084112149532706e-05,	26257.668711656446,	
eyeriss_08b_bp_001c_uBrain_t9_ddr3_w__spm,	All,	334088.0,	0.07805794392523371,	12.810995905270456,	
