Layer,	Type,	DRAM I RD (D) (mW),	DRAM F RD (D) (mW),	DRAM O RD (D) (mW),	DRAM O WR (D) (mW),	DRAM Total (D) (mW),	DRAM Total (L) (mW),	DRAM Total (D+L) (mW),	SRAM I RD (D) (mW),	SRAM F RD (D) (mW),	SRAM O RD (D) (mW),	SRAM O WR (D) (mW),	SRAM Total (D) (mW),	SRAM I (L) (mW),	SRAM F (L) (mW),	SRAM O (L) (mW),	SRAM Total (L) (mW),	SRAM Total (D+L) (mW),	IREG (D) (mW),	IREG (L) (mW),	IREG Total (D+L) (mW),	WREG (D) (mW),	WREG (L) (mW),	WREG Total (D+L) (mW),	MUL (D) (mW),	MUL (L) (mW),	MUL Total (D+L) (mW),	ACC (D) (mW),	ACC (L) (mW),	ACC Total (D+L) (mW),	Systolic Array Total (D) (mW),	Systolic Array Total (L) (mW),	Systolic Array Total (D+L) (mW),	System Total (D) (mW),	System Total (L) (mW),	System Total (D+L) (mW),	
Conv1_5,	GEMM,	8.11357177765363,	10.421113230167597,	0.0,	79.69999808044692,	98.23468308826814,	356.3135352,	454.5482182882681,	1.7791948368715083,	0.30690712206703913,	0.0,	4.079422875418993,	6.165524834357542,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	185.16202243435757,	0.11076367914607567,	0.47626448761777723,	0.5870281667638528,	0.012460913903933514,	0.47626448761777723,	0.48872540152171073,	0.6550333160137473,	2.173346768948554,	2.8283800849623018,	0.4430835715041574,	3.0291242558158933,	3.4722078273200503,	1.221341480567914,	6.155000000000002,	7.376341480567916,	105.6215494031936,	541.4650327999999,	647.0865822031935,	
Conv2_5,	GEMM,	9.106993131570512,	23.843133662259618,	0.0,	11.42866373581731,	44.37879052964744,	356.3135352,	400.69232572964745,	7.613200515845353,	3.2109158798076924,	9.504592453125,	10.723658012740385,	31.05236686151843,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	210.0488644615184,	0.1483427867554008,	0.47626448761777723,	0.6246072743731781,	0.021447149892347108,	0.47626448761777723,	0.4977116375101243,	0.8772683271649256,	2.173346768948554,	3.05061509611348,	0.5934097916319653,	3.0291242558158933,	3.6225340474478585,	1.640468055444639,	6.155000000000002,	7.7954680554446405,	77.07162544661051,	541.4650328,	618.5366582466105,	
Conv1_6,	GEMM,	8.11357177765363,	10.421113230167597,	0.0,	79.69999808044692,	98.23468308826814,	356.3135352,	454.5482182882681,	1.7791948368715083,	0.30690712206703913,	0.0,	4.079422875418993,	6.165524834357542,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	185.16202243435757,	0.11076367914607567,	0.47626448761777723,	0.5870281667638528,	0.012460913903933514,	0.47626448761777723,	0.48872540152171073,	0.6550333160137473,	2.173346768948554,	2.8283800849623018,	0.4430835715041574,	3.0291242558158933,	3.4722078273200503,	1.221341480567914,	6.155000000000002,	7.376341480567916,	105.6215494031936,	541.4650327999999,	647.0865822031935,	
Conv2_6,	GEMM,	9.106993131570512,	23.843133662259618,	0.0,	11.42866373581731,	44.37879052964744,	356.3135352,	400.69232572964745,	7.613200515845353,	3.2109158798076924,	9.504592453125,	10.723658012740385,	31.05236686151843,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	210.0488644615184,	0.1483427867554008,	0.47626448761777723,	0.6246072743731781,	0.021447149892347108,	0.47626448761777723,	0.4977116375101243,	0.8772683271649256,	2.173346768948554,	3.05061509611348,	0.5934097916319653,	3.0291242558158933,	3.6225340474478585,	1.640468055444639,	6.155000000000002,	7.7954680554446405,	77.07162544661051,	541.4650328,	618.5366582466105,	
Conv1_7,	GEMM,	8.11357177765363,	10.421113230167597,	0.0,	79.69999808044692,	98.23468308826814,	356.3135352,	454.5482182882681,	1.7791948368715083,	0.30690712206703913,	0.0,	4.079422875418993,	6.165524834357542,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	185.16202243435757,	0.11076367914607567,	0.47626448761777723,	0.5870281667638528,	0.012460913903933514,	0.47626448761777723,	0.48872540152171073,	0.6550333160137473,	2.173346768948554,	2.8283800849623018,	0.4430835715041574,	3.0291242558158933,	3.4722078273200503,	1.221341480567914,	6.155000000000002,	7.376341480567916,	105.6215494031936,	541.4650327999999,	647.0865822031935,	
Conv2_7,	GEMM,	9.106993131570512,	23.843133662259618,	0.0,	11.42866373581731,	44.37879052964744,	356.3135352,	400.69232572964745,	7.613200515845353,	3.2109158798076924,	9.504592453125,	10.723658012740385,	31.05236686151843,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	210.0488644615184,	0.1483427867554008,	0.47626448761777723,	0.6246072743731781,	0.021447149892347108,	0.47626448761777723,	0.4977116375101243,	0.8772683271649256,	2.173346768948554,	3.05061509611348,	0.5934097916319653,	3.0291242558158933,	3.6225340474478585,	1.640468055444639,	6.155000000000002,	7.7954680554446405,	77.07162544661051,	541.4650328,	618.5366582466105,	
Conv1_8,	GEMM,	8.11357177765363,	10.421113230167597,	0.0,	79.69999808044692,	98.23468308826814,	356.3135352,	454.5482182882681,	1.7791948368715083,	0.30690712206703913,	0.0,	4.079422875418993,	6.165524834357542,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	185.16202243435757,	0.11076367914607567,	0.47626448761777723,	0.5870281667638528,	0.012460913903933514,	0.47626448761777723,	0.48872540152171073,	0.6550333160137473,	2.173346768948554,	2.8283800849623018,	0.4430835715041574,	3.0291242558158933,	3.4722078273200503,	1.221341480567914,	6.155000000000002,	7.376341480567916,	105.6215494031936,	541.4650327999999,	647.0865822031935,	
Conv2_8,	GEMM,	9.106993131570512,	23.843133662259618,	0.0,	11.42866373581731,	44.37879052964744,	356.3135352,	400.69232572964745,	7.613200515845353,	3.2109158798076924,	9.504592453125,	10.723658012740385,	31.05236686151843,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	210.0488644615184,	0.1483427867554008,	0.47626448761777723,	0.6246072743731781,	0.021447149892347108,	0.47626448761777723,	0.4977116375101243,	0.8772683271649256,	2.173346768948554,	3.05061509611348,	0.5934097916319653,	3.0291242558158933,	3.6225340474478585,	1.640468055444639,	6.155000000000002,	7.7954680554446405,	77.07162544661051,	541.4650328,	618.5366582466105,	
Conv1_9,	GEMM,	8.11357177765363,	10.421113230167597,	0.0,	79.69999808044692,	98.23468308826814,	356.3135352,	454.5482182882681,	1.7791948368715083,	0.30690712206703913,	0.0,	4.079422875418993,	6.165524834357542,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	185.16202243435757,	0.11076367914607567,	0.47626448761777723,	0.5870281667638528,	0.012460913903933514,	0.47626448761777723,	0.48872540152171073,	0.6550333160137473,	2.173346768948554,	2.8283800849623018,	0.4430835715041574,	3.0291242558158933,	3.4722078273200503,	1.221341480567914,	6.155000000000002,	7.376341480567916,	105.6215494031936,	541.4650327999999,	647.0865822031935,	
Conv2_9,	GEMM,	9.106993131570512,	23.843133662259618,	0.0,	11.42866373581731,	44.37879052964744,	356.3135352,	400.69232572964745,	7.613200515845353,	3.2109158798076924,	9.504592453125,	10.723658012740385,	31.05236686151843,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	210.0488644615184,	0.1483427867554008,	0.47626448761777723,	0.6246072743731781,	0.021447149892347108,	0.47626448761777723,	0.4977116375101243,	0.8772683271649256,	2.173346768948554,	3.05061509611348,	0.5934097916319653,	3.0291242558158933,	3.6225340474478585,	1.640468055444639,	6.155000000000002,	7.7954680554446405,	77.07162544661051,	541.4650328,	618.5366582466105,	
FC3_0,	GEMM,	0.40803566522882495,	104.71485771215883,	0.0,	0.0284874465135482,	105.1513808239012,	356.3135352,	461.4649160239012,	1.0283193926016676,	14.066699399912043,	1.1523143635746789,	1.193144362470718,	17.440477518559106,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.99649759999997,	196.43697511855908,	0.07438326288688148,	0.47626448761777723,	0.5506477505046586,	0.07438326288688148,	0.47626448761777723,	0.5506477505046586,	0.4950308593990427,	2.173346768948554,	2.6683776283475966,	0.33485325986487213,	3.0291242558158933,	3.3639775156807654,	0.9786506450376777,	6.155000000000002,	7.1336506450376795,	123.57050898749799,	541.4650327999999,	665.0355417874979,	
FC3_1,	GEMM,	0.40803566522882495,	104.71485771215883,	0.0,	0.0284874465135482,	105.1513808239012,	356.3135352,	461.4649160239012,	1.0283193926016676,	14.066699399912043,	1.1523143635746789,	1.193144362470718,	17.440477518559106,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.99649759999997,	196.43697511855908,	0.07438326288688148,	0.47626448761777723,	0.5506477505046586,	0.07438326288688148,	0.47626448761777723,	0.5506477505046586,	0.4950308593990427,	2.173346768948554,	2.6683776283475966,	0.33485325986487213,	3.0291242558158933,	3.3639775156807654,	0.9786506450376777,	6.155000000000002,	7.1336506450376795,	123.57050898749799,	541.4650327999999,	665.0355417874979,	
FC3_2,	GEMM,	0.40803566522882495,	104.71485771215883,	0.0,	0.0284874465135482,	105.1513808239012,	356.3135352,	461.4649160239012,	1.0283193926016676,	14.066699399912043,	1.1523143635746789,	1.193144362470718,	17.440477518559106,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.99649759999997,	196.43697511855908,	0.07438326288688148,	0.47626448761777723,	0.5506477505046586,	0.07438326288688148,	0.47626448761777723,	0.5506477505046586,	0.4950308593990427,	2.173346768948554,	2.6683776283475966,	0.33485325986487213,	3.0291242558158933,	3.3639775156807654,	0.9786506450376777,	6.155000000000002,	7.1336506450376795,	123.57050898749799,	541.4650327999999,	665.0355417874979,	
FC3_3,	GEMM,	0.40803566522882495,	104.71485771215883,	0.0,	0.0284874465135482,	105.1513808239012,	356.3135352,	461.4649160239012,	1.0283193926016676,	14.066699399912043,	1.1523143635746789,	1.193144362470718,	17.440477518559106,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.99649759999997,	196.43697511855908,	0.07438326288688148,	0.47626448761777723,	0.5506477505046586,	0.07438326288688148,	0.47626448761777723,	0.5506477505046586,	0.4950308593990427,	2.173346768948554,	2.6683776283475966,	0.33485325986487213,	3.0291242558158933,	3.3639775156807654,	0.9786506450376777,	6.155000000000002,	7.1336506450376795,	123.57050898749799,	541.4650327999999,	665.0355417874979,	
FC3_4,	GEMM,	0.40803566522882495,	104.71485771215883,	0.0,	0.0284874465135482,	105.1513808239012,	356.3135352,	461.4649160239012,	1.0283193926016676,	14.066699399912043,	1.1523143635746789,	1.193144362470718,	17.440477518559106,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.99649759999997,	196.43697511855908,	0.07438326288688148,	0.47626448761777723,	0.5506477505046586,	0.07438326288688148,	0.47626448761777723,	0.5506477505046586,	0.4950308593990427,	2.173346768948554,	2.6683776283475966,	0.33485325986487213,	3.0291242558158933,	3.3639775156807654,	0.9786506450376777,	6.155000000000002,	7.1336506450376795,	123.57050898749799,	541.4650327999999,	665.0355417874979,	
FC3_5,	GEMM,	0.40803566522882495,	104.71485771215883,	0.0,	0.0284874465135482,	105.1513808239012,	356.3135352,	461.4649160239012,	1.0283193926016676,	14.066699399912043,	1.1523143635746789,	1.193144362470718,	17.440477518559106,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.99649759999997,	196.43697511855908,	0.07438326288688148,	0.47626448761777723,	0.5506477505046586,	0.07438326288688148,	0.47626448761777723,	0.5506477505046586,	0.4950308593990427,	2.173346768948554,	2.6683776283475966,	0.33485325986487213,	3.0291242558158933,	3.3639775156807654,	0.9786506450376777,	6.155000000000002,	7.1336506450376795,	123.57050898749799,	541.4650327999999,	665.0355417874979,	
FC3_6,	GEMM,	0.40803566522882495,	104.71485771215883,	0.0,	0.0284874465135482,	105.1513808239012,	356.3135352,	461.4649160239012,	1.0283193926016676,	14.066699399912043,	1.1523143635746789,	1.193144362470718,	17.440477518559106,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.99649759999997,	196.43697511855908,	0.07438326288688148,	0.47626448761777723,	0.5506477505046586,	0.07438326288688148,	0.47626448761777723,	0.5506477505046586,	0.4950308593990427,	2.173346768948554,	2.6683776283475966,	0.33485325986487213,	3.0291242558158933,	3.3639775156807654,	0.9786506450376777,	6.155000000000002,	7.1336506450376795,	123.57050898749799,	541.4650327999999,	665.0355417874979,	
FC3_7,	GEMM,	0.40803566522882495,	104.71485771215883,	0.0,	0.0284874465135482,	105.1513808239012,	356.3135352,	461.4649160239012,	1.0283193926016676,	14.066699399912043,	1.1523143635746789,	1.193144362470718,	17.440477518559106,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.99649759999997,	196.43697511855908,	0.07438326288688148,	0.47626448761777723,	0.5506477505046586,	0.07438326288688148,	0.47626448761777723,	0.5506477505046586,	0.4950308593990427,	2.173346768948554,	2.6683776283475966,	0.33485325986487213,	3.0291242558158933,	3.3639775156807654,	0.9786506450376777,	6.155000000000002,	7.1336506450376795,	123.57050898749799,	541.4650327999999,	665.0355417874979,	
FC3_8,	GEMM,	0.40803566522882495,	104.71485771215883,	0.0,	0.0284874465135482,	105.1513808239012,	356.3135352,	461.4649160239012,	1.0283193926016676,	14.066699399912043,	1.1523143635746789,	1.193144362470718,	17.440477518559106,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.99649759999997,	196.43697511855908,	0.07438326288688148,	0.47626448761777723,	0.5506477505046586,	0.07438326288688148,	0.47626448761777723,	0.5506477505046586,	0.4950308593990427,	2.173346768948554,	2.6683776283475966,	0.33485325986487213,	3.0291242558158933,	3.3639775156807654,	0.9786506450376777,	6.155000000000002,	7.1336506450376795,	123.57050898749799,	541.4650327999999,	665.0355417874979,	
FC3_9,	GEMM,	0.40803566522882495,	104.71485771215883,	0.0,	0.0284874465135482,	105.1513808239012,	356.3135352,	461.4649160239012,	1.0283193926016676,	14.066699399912043,	1.1523143635746789,	1.193144362470718,	17.440477518559106,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.99649759999997,	196.43697511855908,	0.07438326288688148,	0.47626448761777723,	0.5506477505046586,	0.07438326288688148,	0.47626448761777723,	0.5506477505046586,	0.4950308593990427,	2.173346768948554,	2.6683776283475966,	0.33485325986487213,	3.0291242558158933,	3.3639775156807654,	0.9786506450376777,	6.155000000000002,	7.1336506450376795,	123.57050898749799,	541.4650327999999,	665.0355417874979,	
RNN4_FG_0,	GEMM,	1.0843018813261698,	69.320323939772,	0.0,	0.20927465029484996,	70.61390047139301,	356.3135352,	426.927435671393,	0.7200812938015988,	9.335541910627702,	0.7464774868824532,	0.8003327165378062,	11.602433407849562,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.9964976,	190.59893100784956,	0.0519635658947649,	0.47626448761777723,	0.5282280535125421,	0.0519635658947649,	0.47626448761777723,	0.5282280535125421,	0.33188583580599557,	2.173346768948554,	2.50523260475455,	0.2244972245922781,	3.029124255815893,	3.2536214804081713,	0.6603101921878034,	6.155000000000001,	6.8153101921878045,	82.87664407143038,	541.4650328,	624.3416768714304,	
RNN4_NG_0,	GEMM,	1.0843018813261698,	69.320323939772,	0.0,	0.20927465029484996,	70.61390047139301,	356.3135352,	426.927435671393,	0.7200812938015988,	9.335541910627702,	0.7464774868824532,	0.8003327165378062,	11.602433407849562,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.9964976,	190.59893100784956,	0.0519635658947649,	0.47626448761777723,	0.5282280535125421,	0.0519635658947649,	0.47626448761777723,	0.5282280535125421,	0.33188583580599557,	2.173346768948554,	2.50523260475455,	0.2244972245922781,	3.029124255815893,	3.2536214804081713,	0.6603101921878034,	6.155000000000001,	6.8153101921878045,	82.87664407143038,	541.4650328,	624.3416768714304,	
RNN4_ptwise1_0,	GEMM,	11.177912324832215,	11.177912324832215,	0.0,	1.4179023919463087,	23.773727041610737,	356.3135352,	380.08726224161074,	1.4941174563758388,	1.4941174563758388,	0.11487580872483222,	0.16521778993288588,	3.268328511409396,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.9964976,	182.2648261114094,	0.10645207284374522,	0.47626448761777723,	0.5827165604615224,	0.10645207284374522,	0.47626448761777723,	0.5827165604615224,	0.6295353748534805,	2.173346768948554,	2.802882143802035,	0.4258360230831902,	3.0291242558158933,	3.4549602788990836,	1.268275543624161,	6.155000000000002,	7.423275543624163,	28.31033109664429,	541.4650327999999,	569.7753638966442,	
RNN4_ptwise2_0,	GEMM,	11.177912324832215,	11.177912324832215,	0.0,	1.4179023919463087,	23.773727041610737,	356.3135352,	380.08726224161074,	1.4941174563758388,	1.4941174563758388,	0.11487580872483222,	0.16521778993288588,	3.268328511409396,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.9964976,	182.2648261114094,	0.10645207284374522,	0.47626448761777723,	0.5827165604615224,	0.10645207284374522,	0.47626448761777723,	0.5827165604615224,	0.6295353748534805,	2.173346768948554,	2.802882143802035,	0.4258360230831902,	3.0291242558158933,	3.4549602788990836,	1.268275543624161,	6.155000000000002,	7.423275543624163,	28.31033109664429,	541.4650327999999,	569.7753638966442,	
RNN4_FG_1,	GEMM,	1.0843018813261698,	69.320323939772,	0.0,	0.20927465029484996,	70.61390047139301,	356.3135352,	426.927435671393,	0.7200812938015988,	9.335541910627702,	0.7464774868824532,	0.8003327165378062,	11.602433407849562,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.9964976,	190.59893100784956,	0.0519635658947649,	0.47626448761777723,	0.5282280535125421,	0.0519635658947649,	0.47626448761777723,	0.5282280535125421,	0.33188583580599557,	2.173346768948554,	2.50523260475455,	0.2244972245922781,	3.029124255815893,	3.2536214804081713,	0.6603101921878034,	6.155000000000001,	6.8153101921878045,	82.87664407143038,	541.4650328,	624.3416768714304,	
RNN4_NG_1,	GEMM,	1.0843018813261698,	69.320323939772,	0.0,	0.20927465029484996,	70.61390047139301,	356.3135352,	426.927435671393,	0.7200812938015988,	9.335541910627702,	0.7464774868824532,	0.8003327165378062,	11.602433407849562,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.9964976,	190.59893100784956,	0.0519635658947649,	0.47626448761777723,	0.5282280535125421,	0.0519635658947649,	0.47626448761777723,	0.5282280535125421,	0.33188583580599557,	2.173346768948554,	2.50523260475455,	0.2244972245922781,	3.029124255815893,	3.2536214804081713,	0.6603101921878034,	6.155000000000001,	6.8153101921878045,	82.87664407143038,	541.4650328,	624.3416768714304,	
RNN4_ptwise1_1,	GEMM,	11.177912324832215,	11.177912324832215,	0.0,	1.4179023919463087,	23.773727041610737,	356.3135352,	380.08726224161074,	1.4941174563758388,	1.4941174563758388,	0.11487580872483222,	0.16521778993288588,	3.268328511409396,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.9964976,	182.2648261114094,	0.10645207284374522,	0.47626448761777723,	0.5827165604615224,	0.10645207284374522,	0.47626448761777723,	0.5827165604615224,	0.6295353748534805,	2.173346768948554,	2.802882143802035,	0.4258360230831902,	3.0291242558158933,	3.4549602788990836,	1.268275543624161,	6.155000000000002,	7.423275543624163,	28.31033109664429,	541.4650327999999,	569.7753638966442,	
RNN4_ptwise2_1,	GEMM,	11.177912324832215,	11.177912324832215,	0.0,	1.4179023919463087,	23.773727041610737,	356.3135352,	380.08726224161074,	1.4941174563758388,	1.4941174563758388,	0.11487580872483222,	0.16521778993288588,	3.268328511409396,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.9964976,	182.2648261114094,	0.10645207284374522,	0.47626448761777723,	0.5827165604615224,	0.10645207284374522,	0.47626448761777723,	0.5827165604615224,	0.6295353748534805,	2.173346768948554,	2.802882143802035,	0.4258360230831902,	3.0291242558158933,	3.4549602788990836,	1.268275543624161,	6.155000000000002,	7.423275543624163,	28.31033109664429,	541.4650327999999,	569.7753638966442,	
