Layer,	Type,	DRAM I RD (D) (nJ),	DRAM F RD (D) (nJ),	DRAM O RD (D) (nJ),	DRAM O WR (D) (nJ),	DRAM Total (D) (nJ),	DRAM Total (L) (nJ),	DRAM Total (D+L) (nJ),	SRAM I RD (D) (nJ),	SRAM F RD (D) (nJ),	SRAM O RD (D) (nJ),	SRAM O WR (D) (nJ),	SRAM Total (D) (nJ),	SRAM I (L) (nJ),	SRAM F (L) (nJ),	SRAM O (L) (nJ),	SRAM Total (L) (nJ),	SRAM Total (D+L) (nJ),	IREG (D) (nJ),	IREG (L) (nJ),	IREG Total (D+L) (nJ),	WREG (D) (nJ),	WREG (L) (nJ),	WREG Total (D+L) (nJ),	MUL (D) (nJ),	MUL (L) (nJ),	MUL Total (D+L) (nJ),	ACC (D) (nJ),	ACC (L) (nJ),	ACC Total (D+L) (nJ),	Systolic Array Total (D) (nJ),	Systolic Array Total (L) (nJ),	Systolic Array Total (D+L) (nJ),	System Total (D) (nJ),	System Total (L) (nJ),	System Total (D+L) (nJ),	
Conv1_5,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	3644.57844576,	4089.7432121599995,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	610.2928203885714,	610.2928203885714,	610.2928203885714,	1830.8784611657143,	1858.8184344657143,	0.5019417358771531,	4.871505330490407,	5.37344706636756,	0.056468445286179725,	4.871505330490407,	4.927973775776587,	2.968378824467361,	22.23023266524521,	25.198611489712572,	2.0078977037783337,	30.983613816631134,	32.99151152040947,	5.534686709409028,	62.95685714285716,	68.49154385226619,	478.639426409409,	5538.413764068571,	6017.05319047798,	
Conv2_5,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	50820.49050624,	53624.78066224,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	8510.00491446857,	8510.00491446857,	8510.00491446857,	25530.014743405714,	27492.209874705713,	9.373761917505833,	67.92892349108412,	77.30268540858995,	1.3552426868683134,	67.92892349108412,	69.28416617795243,	55.43447454692796,	309.98134487403377,	365.4158194209617,	37.497489618060385,	432.0396652866554,	469.5371549047158,	103.6609687693625,	877.8788571428574,	981.53982591222,	4870.146256069363,	77228.38410678857,	82098.53036285793,	
Conv1_6,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	3644.57844576,	4089.7432121599995,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	610.2928203885714,	610.2928203885714,	610.2928203885714,	1830.8784611657143,	1858.8184344657143,	0.5019417358771531,	4.871505330490407,	5.37344706636756,	0.056468445286179725,	4.871505330490407,	4.927973775776587,	2.968378824467361,	22.23023266524521,	25.198611489712572,	2.0078977037783337,	30.983613816631134,	32.99151152040947,	5.534686709409028,	62.95685714285716,	68.49154385226619,	478.639426409409,	5538.413764068571,	6017.05319047798,	
Conv2_6,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	50820.49050624,	53624.78066224,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	8510.00491446857,	8510.00491446857,	8510.00491446857,	25530.014743405714,	27492.209874705713,	9.373761917505833,	67.92892349108412,	77.30268540858995,	1.3552426868683134,	67.92892349108412,	69.28416617795243,	55.43447454692796,	309.98134487403377,	365.4158194209617,	37.497489618060385,	432.0396652866554,	469.5371549047158,	103.6609687693625,	877.8788571428574,	981.53982591222,	4870.146256069363,	77228.38410678857,	82098.53036285793,	
Conv1_7,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	3644.57844576,	4089.7432121599995,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	610.2928203885714,	610.2928203885714,	610.2928203885714,	1830.8784611657143,	1858.8184344657143,	0.5019417358771531,	4.871505330490407,	5.37344706636756,	0.056468445286179725,	4.871505330490407,	4.927973775776587,	2.968378824467361,	22.23023266524521,	25.198611489712572,	2.0078977037783337,	30.983613816631134,	32.99151152040947,	5.534686709409028,	62.95685714285716,	68.49154385226619,	478.639426409409,	5538.413764068571,	6017.05319047798,	
Conv2_7,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	50820.49050624,	53624.78066224,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	8510.00491446857,	8510.00491446857,	8510.00491446857,	25530.014743405714,	27492.209874705713,	9.373761917505833,	67.92892349108412,	77.30268540858995,	1.3552426868683134,	67.92892349108412,	69.28416617795243,	55.43447454692796,	309.98134487403377,	365.4158194209617,	37.497489618060385,	432.0396652866554,	469.5371549047158,	103.6609687693625,	877.8788571428574,	981.53982591222,	4870.146256069363,	77228.38410678857,	82098.53036285793,	
Conv1_8,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	3644.57844576,	4089.7432121599995,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	610.2928203885714,	610.2928203885714,	610.2928203885714,	1830.8784611657143,	1858.8184344657143,	0.5019417358771531,	4.871505330490407,	5.37344706636756,	0.056468445286179725,	4.871505330490407,	4.927973775776587,	2.968378824467361,	22.23023266524521,	25.198611489712572,	2.0078977037783337,	30.983613816631134,	32.99151152040947,	5.534686709409028,	62.95685714285716,	68.49154385226619,	478.639426409409,	5538.413764068571,	6017.05319047798,	
Conv2_8,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	50820.49050624,	53624.78066224,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	8510.00491446857,	8510.00491446857,	8510.00491446857,	25530.014743405714,	27492.209874705713,	9.373761917505833,	67.92892349108412,	77.30268540858995,	1.3552426868683134,	67.92892349108412,	69.28416617795243,	55.43447454692796,	309.98134487403377,	365.4158194209617,	37.497489618060385,	432.0396652866554,	469.5371549047158,	103.6609687693625,	877.8788571428574,	981.53982591222,	4870.146256069363,	77228.38410678857,	82098.53036285793,	
Conv1_9,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	3644.57844576,	4089.7432121599995,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	610.2928203885714,	610.2928203885714,	610.2928203885714,	1830.8784611657143,	1858.8184344657143,	0.5019417358771531,	4.871505330490407,	5.37344706636756,	0.056468445286179725,	4.871505330490407,	4.927973775776587,	2.968378824467361,	22.23023266524521,	25.198611489712572,	2.0078977037783337,	30.983613816631134,	32.99151152040947,	5.534686709409028,	62.95685714285716,	68.49154385226619,	478.639426409409,	5538.413764068571,	6017.05319047798,	
Conv2_9,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	50820.49050624,	53624.78066224,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	8510.00491446857,	8510.00491446857,	8510.00491446857,	25530.014743405714,	27492.209874705713,	9.373761917505833,	67.92892349108412,	77.30268540858995,	1.3552426868683134,	67.92892349108412,	69.28416617795243,	55.43447454692796,	309.98134487403377,	365.4158194209617,	37.497489618060385,	432.0396652866554,	469.5371549047158,	103.6609687693625,	877.8788571428574,	981.53982591222,	4870.146256069363,	77228.38410678857,	82098.53036285793,	
FC3_0,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	2268536.29436448,	2565135.0639152797,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	379871.4813923657,	379871.4813923657,	379871.4813923657,	1139614.4441770972,	1188808.5121184972,	209.81164559664998,	3032.226309537708,	3242.037955134358,	209.81164559664998,	3032.226309537708,	3242.037955134358,	1396.3253990294465,	13837.015826053776,	15233.341225083223,	944.5150798573281,	19285.482126299394,	20229.99720615672,	2760.463770080075,	39186.950571428584,	41947.41434150866,	348553.3012622801,	3447337.6891130055,	3795890.9903752855,	
FC3_1,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	2268536.29436448,	2565135.0639152797,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	379871.4813923657,	379871.4813923657,	379871.4813923657,	1139614.4441770972,	1188808.5121184972,	209.81164559664998,	3032.226309537708,	3242.037955134358,	209.81164559664998,	3032.226309537708,	3242.037955134358,	1396.3253990294465,	13837.015826053776,	15233.341225083223,	944.5150798573281,	19285.482126299394,	20229.99720615672,	2760.463770080075,	39186.950571428584,	41947.41434150866,	348553.3012622801,	3447337.6891130055,	3795890.9903752855,	
FC3_2,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	2268536.29436448,	2565135.0639152797,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	379871.4813923657,	379871.4813923657,	379871.4813923657,	1139614.4441770972,	1188808.5121184972,	209.81164559664998,	3032.226309537708,	3242.037955134358,	209.81164559664998,	3032.226309537708,	3242.037955134358,	1396.3253990294465,	13837.015826053776,	15233.341225083223,	944.5150798573281,	19285.482126299394,	20229.99720615672,	2760.463770080075,	39186.950571428584,	41947.41434150866,	348553.3012622801,	3447337.6891130055,	3795890.9903752855,	
FC3_3,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	2268536.29436448,	2565135.0639152797,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	379871.4813923657,	379871.4813923657,	379871.4813923657,	1139614.4441770972,	1188808.5121184972,	209.81164559664998,	3032.226309537708,	3242.037955134358,	209.81164559664998,	3032.226309537708,	3242.037955134358,	1396.3253990294465,	13837.015826053776,	15233.341225083223,	944.5150798573281,	19285.482126299394,	20229.99720615672,	2760.463770080075,	39186.950571428584,	41947.41434150866,	348553.3012622801,	3447337.6891130055,	3795890.9903752855,	
FC3_4,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	2268536.29436448,	2565135.0639152797,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	379871.4813923657,	379871.4813923657,	379871.4813923657,	1139614.4441770972,	1188808.5121184972,	209.81164559664998,	3032.226309537708,	3242.037955134358,	209.81164559664998,	3032.226309537708,	3242.037955134358,	1396.3253990294465,	13837.015826053776,	15233.341225083223,	944.5150798573281,	19285.482126299394,	20229.99720615672,	2760.463770080075,	39186.950571428584,	41947.41434150866,	348553.3012622801,	3447337.6891130055,	3795890.9903752855,	
FC3_5,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	2268536.29436448,	2565135.0639152797,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	379871.4813923657,	379871.4813923657,	379871.4813923657,	1139614.4441770972,	1188808.5121184972,	209.81164559664998,	3032.226309537708,	3242.037955134358,	209.81164559664998,	3032.226309537708,	3242.037955134358,	1396.3253990294465,	13837.015826053776,	15233.341225083223,	944.5150798573281,	19285.482126299394,	20229.99720615672,	2760.463770080075,	39186.950571428584,	41947.41434150866,	348553.3012622801,	3447337.6891130055,	3795890.9903752855,	
FC3_6,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	2268536.29436448,	2565135.0639152797,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	379871.4813923657,	379871.4813923657,	379871.4813923657,	1139614.4441770972,	1188808.5121184972,	209.81164559664998,	3032.226309537708,	3242.037955134358,	209.81164559664998,	3032.226309537708,	3242.037955134358,	1396.3253990294465,	13837.015826053776,	15233.341225083223,	944.5150798573281,	19285.482126299394,	20229.99720615672,	2760.463770080075,	39186.950571428584,	41947.41434150866,	348553.3012622801,	3447337.6891130055,	3795890.9903752855,	
FC3_7,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	2268536.29436448,	2565135.0639152797,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	379871.4813923657,	379871.4813923657,	379871.4813923657,	1139614.4441770972,	1188808.5121184972,	209.81164559664998,	3032.226309537708,	3242.037955134358,	209.81164559664998,	3032.226309537708,	3242.037955134358,	1396.3253990294465,	13837.015826053776,	15233.341225083223,	944.5150798573281,	19285.482126299394,	20229.99720615672,	2760.463770080075,	39186.950571428584,	41947.41434150866,	348553.3012622801,	3447337.6891130055,	3795890.9903752855,	
FC3_8,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	2268536.29436448,	2565135.0639152797,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	379871.4813923657,	379871.4813923657,	379871.4813923657,	1139614.4441770972,	1188808.5121184972,	209.81164559664998,	3032.226309537708,	3242.037955134358,	209.81164559664998,	3032.226309537708,	3242.037955134358,	1396.3253990294465,	13837.015826053776,	15233.341225083223,	944.5150798573281,	19285.482126299394,	20229.99720615672,	2760.463770080075,	39186.950571428584,	41947.41434150866,	348553.3012622801,	3447337.6891130055,	3795890.9903752855,	
FC3_9,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	2268536.29436448,	2565135.0639152797,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	379871.4813923657,	379871.4813923657,	379871.4813923657,	1139614.4441770972,	1188808.5121184972,	209.81164559664998,	3032.226309537708,	3242.037955134358,	209.81164559664998,	3032.226309537708,	3242.037955134358,	1396.3253990294465,	13837.015826053776,	15233.341225083223,	944.5150798573281,	19285.482126299394,	20229.99720615672,	2760.463770080075,	39186.950571428584,	41947.41434150866,	348553.3012622801,	3447337.6891130055,	3795890.9903752855,	
RNN4_FG_0,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	77686.53106031999,	84507.47630711998,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	13008.783554148571,	13008.783554148571,	13008.783554148571,	39026.350662445715,	40147.08698314572,	5.0194173587715305,	103.83926585746451,	108.85868321623605,	5.0194173587715305,	103.83926585746451,	108.85868321623605,	32.0584913042475,	473.85169125275473,	505.91018255700226,	21.685295200806003,	660.4356341751737,	682.1209293759797,	63.78262122259656,	1341.9658571428577,	1405.7484783654543,	8005.464188722597,	118054.84757990857,	126060.31176863117,	
RNN4_NG_0,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	77686.53106031999,	84507.47630711998,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	13008.783554148571,	13008.783554148571,	13008.783554148571,	39026.350662445715,	40147.08698314572,	5.0194173587715305,	103.83926585746451,	108.85868321623605,	5.0194173587715305,	103.83926585746451,	108.85868321623605,	32.0584913042475,	473.85169125275473,	505.91018255700226,	21.685295200806003,	660.4356341751737,	682.1209293759797,	63.78262122259656,	1341.9658571428577,	1405.7484783654543,	8005.464188722597,	118054.84757990857,	126060.31176863117,	
RNN4_ptwise1_0,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	1516.8776212799999,	1561.7166760799998,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	254.00455373714286,	254.00455373714286,	254.00455373714286,	762.0136612114286,	768.1779770114287,	0.20077669435086123,	2.027525961572823,	2.228302655923684,	0.20077669435086123,	2.027525961572823,	2.228302655923684,	1.1873515297869444,	9.252247673523845,	10.43959920331079,	0.8031590815113334,	12.895414689044802,	13.698573770556136,	2.3920640000000004,	26.202714285714293,	28.594778285714295,	53.395434599999994,	2305.093996777143,	2358.489431377143,	
RNN4_ptwise2_0,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	1516.8776212799999,	1561.7166760799998,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	254.00455373714286,	254.00455373714286,	254.00455373714286,	762.0136612114286,	768.1779770114287,	0.20077669435086123,	2.027525961572823,	2.228302655923684,	0.20077669435086123,	2.027525961572823,	2.228302655923684,	1.1873515297869444,	9.252247673523845,	10.43959920331079,	0.8031590815113334,	12.895414689044802,	13.698573770556136,	2.3920640000000004,	26.202714285714293,	28.594778285714295,	53.395434599999994,	2305.093996777143,	2358.489431377143,	
RNN4_FG_1,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	77686.53106031999,	84507.47630711998,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	13008.783554148571,	13008.783554148571,	13008.783554148571,	39026.350662445715,	40147.08698314572,	5.0194173587715305,	103.83926585746451,	108.85868321623605,	5.0194173587715305,	103.83926585746451,	108.85868321623605,	32.0584913042475,	473.85169125275473,	505.91018255700226,	21.685295200806003,	660.4356341751737,	682.1209293759797,	63.78262122259656,	1341.9658571428577,	1405.7484783654543,	8005.464188722597,	118054.84757990857,	126060.31176863117,	
RNN4_NG_1,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	77686.53106031999,	84507.47630711998,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	13008.783554148571,	13008.783554148571,	13008.783554148571,	39026.350662445715,	40147.08698314572,	5.0194173587715305,	103.83926585746451,	108.85868321623605,	5.0194173587715305,	103.83926585746451,	108.85868321623605,	32.0584913042475,	473.85169125275473,	505.91018255700226,	21.685295200806003,	660.4356341751737,	682.1209293759797,	63.78262122259656,	1341.9658571428577,	1405.7484783654543,	8005.464188722597,	118054.84757990857,	126060.31176863117,	
RNN4_ptwise1_1,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	1516.8776212799999,	1561.7166760799998,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	254.00455373714286,	254.00455373714286,	254.00455373714286,	762.0136612114286,	768.1779770114287,	0.20077669435086123,	2.027525961572823,	2.228302655923684,	0.20077669435086123,	2.027525961572823,	2.228302655923684,	1.1873515297869444,	9.252247673523845,	10.43959920331079,	0.8031590815113334,	12.895414689044802,	13.698573770556136,	2.3920640000000004,	26.202714285714293,	28.594778285714295,	53.395434599999994,	2305.093996777143,	2358.489431377143,	
RNN4_ptwise2_1,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	1516.8776212799999,	1561.7166760799998,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	254.00455373714286,	254.00455373714286,	254.00455373714286,	762.0136612114286,	768.1779770114287,	0.20077669435086123,	2.027525961572823,	2.228302655923684,	0.20077669435086123,	2.027525961572823,	2.228302655923684,	1.1873515297869444,	9.252247673523845,	10.43959920331079,	0.8031590815113334,	12.895414689044802,	13.698573770556136,	2.3920640000000004,	26.202714285714293,	28.594778285714295,	53.395434599999994,	2305.093996777143,	2358.489431377143,	
RNN4_FG_2,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	77686.53106031999,	84507.47630711998,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	13008.783554148571,	13008.783554148571,	13008.783554148571,	39026.350662445715,	40147.08698314572,	5.0194173587715305,	103.83926585746451,	108.85868321623605,	5.0194173587715305,	103.83926585746451,	108.85868321623605,	32.0584913042475,	473.85169125275473,	505.91018255700226,	21.685295200806003,	660.4356341751737,	682.1209293759797,	63.78262122259656,	1341.9658571428577,	1405.7484783654543,	8005.464188722597,	118054.84757990857,	126060.31176863117,	
RNN4_NG_2,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	77686.53106031999,	84507.47630711998,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	13008.783554148571,	13008.783554148571,	13008.783554148571,	39026.350662445715,	40147.08698314572,	5.0194173587715305,	103.83926585746451,	108.85868321623605,	5.0194173587715305,	103.83926585746451,	108.85868321623605,	32.0584913042475,	473.85169125275473,	505.91018255700226,	21.685295200806003,	660.4356341751737,	682.1209293759797,	63.78262122259656,	1341.9658571428577,	1405.7484783654543,	8005.464188722597,	118054.84757990857,	126060.31176863117,	
