Layer,	Type,	DRAM I RD (D) (mW),	DRAM F RD (D) (mW),	DRAM O RD (D) (mW),	DRAM O WR (D) (mW),	DRAM Total (D) (mW),	DRAM Total (L) (mW),	DRAM Total (D+L) (mW),	SRAM I RD (D) (mW),	SRAM F RD (D) (mW),	SRAM O RD (D) (mW),	SRAM O WR (D) (mW),	SRAM Total (D) (mW),	SRAM I (L) (mW),	SRAM F (L) (mW),	SRAM O (L) (mW),	SRAM Total (L) (mW),	SRAM Total (D+L) (mW),	IREG (D) (mW),	IREG (L) (mW),	IREG Total (D+L) (mW),	WREG (D) (mW),	WREG (L) (mW),	WREG Total (D+L) (mW),	MUL (D) (mW),	MUL (L) (mW),	MUL Total (D+L) (mW),	ACC (D) (mW),	ACC (L) (mW),	ACC Total (D+L) (mW),	Systolic Array Total (D) (mW),	Systolic Array Total (L) (mW),	Systolic Array Total (D+L) (mW),	System Total (D) (mW),	System Total (L) (mW),	System Total (D+L) (mW),	
Conv2_7,	GEMM,	4.034743792467948,	10.563413647836539,	0.0,	5.063332034855769,	19.661489475160256,	356.3135352,	375.9750246751602,	3.3729369373998397,	1.4225576682692307,	4.210895390625,	4.750987727163461,	13.757377723457532,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	192.75387532345752,	0.06572148780302567,	0.4762644876177773,	0.541985975420803,	0.009501901851039857,	0.4762644876177773,	0.4857663894688171,	0.3886631829211696,	2.173346768948554,	2.5620099518697237,	0.2629030722420099,	3.0291242558158933,	3.292027328057903,	0.7267896448172451,	6.155000000000002,	6.881789644817247,	34.145656843435034,	541.4650327999999,	575.610689643435,	
Conv1_8,	GEMM,	3.5946204078212296,	4.616948899441341,	0.0,	35.31012573184358,	43.52169503910614,	356.3135352,	399.8352302391061,	0.7882508770949721,	0.13597150977653633,	0.0,	1.807339248603352,	2.7315616354748604,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	181.7280592354749,	0.049072516077375304,	0.47626448761777723,	0.5253370036951526,	0.005520658058704722,	0.47626448761777723,	0.48178514567648195,	0.29020463367697663,	2.173346768948554,	2.463551402625531,	0.1963028481347533,	3.0291242558158933,	3.2254271039506466,	0.54110065594781,	6.155000000000002,	6.696100655947812,	46.79435733052882,	541.4650328,	588.2593901305288,	
Conv2_8,	GEMM,	4.034743792467948,	10.563413647836539,	0.0,	5.063332034855769,	19.661489475160256,	356.3135352,	375.9750246751602,	3.3729369373998397,	1.4225576682692307,	4.210895390625,	4.750987727163461,	13.757377723457532,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	192.75387532345752,	0.06572148780302567,	0.4762644876177773,	0.541985975420803,	0.009501901851039857,	0.4762644876177773,	0.4857663894688171,	0.3886631829211696,	2.173346768948554,	2.5620099518697237,	0.2629030722420099,	3.0291242558158933,	3.292027328057903,	0.7267896448172451,	6.155000000000002,	6.881789644817247,	34.145656843435034,	541.4650327999999,	575.610689643435,	
Conv1_9,	GEMM,	3.5946204078212296,	4.616948899441341,	0.0,	35.31012573184358,	43.52169503910614,	356.3135352,	399.8352302391061,	0.7882508770949721,	0.13597150977653633,	0.0,	1.807339248603352,	2.7315616354748604,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	181.7280592354749,	0.049072516077375304,	0.47626448761777723,	0.5253370036951526,	0.005520658058704722,	0.47626448761777723,	0.48178514567648195,	0.29020463367697663,	2.173346768948554,	2.463551402625531,	0.1963028481347533,	3.0291242558158933,	3.2254271039506466,	0.54110065594781,	6.155000000000002,	6.696100655947812,	46.79435733052882,	541.4650328,	588.2593901305288,	
Conv2_9,	GEMM,	4.034743792467948,	10.563413647836539,	0.0,	5.063332034855769,	19.661489475160256,	356.3135352,	375.9750246751602,	3.3729369373998397,	1.4225576682692307,	4.210895390625,	4.750987727163461,	13.757377723457532,	59.66549919999999,	59.66549919999999,	59.66549919999999,	178.9964976,	192.75387532345752,	0.06572148780302567,	0.4762644876177773,	0.541985975420803,	0.009501901851039857,	0.4762644876177773,	0.4857663894688171,	0.3886631829211696,	2.173346768948554,	2.5620099518697237,	0.2629030722420099,	3.0291242558158933,	3.292027328057903,	0.7267896448172451,	6.155000000000002,	6.881789644817247,	34.145656843435034,	541.4650327999999,	575.610689643435,	
FC3_0,	GEMM,	0.1807752947216313,	46.392658480070374,	0.0,	0.01262102060726819,	46.58605479539927,	356.3135352,	402.89958999539925,	0.4555845410260552,	6.2320820126192595,	0.5105190218368831,	0.5286082618541157,	7.726793837336313,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	186.72329143733631,	0.03295461013975762,	0.47626448761777723,	0.5092190977575349,	0.03295461013975762,	0.47626448761777723,	0.5092190977575349,	0.21931746935400626,	2.173346768948554,	2.3926642383025607,	0.14835271006671552,	3.0291242558158933,	3.1774769658826085,	0.433579399700237,	6.155000000000002,	6.588579399700239,	54.746428032435816,	541.4650328,	596.2114608324358,	
FC3_1,	GEMM,	0.1807752947216313,	46.392658480070374,	0.0,	0.01262102060726819,	46.58605479539927,	356.3135352,	402.89958999539925,	0.4555845410260552,	6.2320820126192595,	0.5105190218368831,	0.5286082618541157,	7.726793837336313,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	186.72329143733631,	0.03295461013975762,	0.47626448761777723,	0.5092190977575349,	0.03295461013975762,	0.47626448761777723,	0.5092190977575349,	0.21931746935400626,	2.173346768948554,	2.3926642383025607,	0.14835271006671552,	3.0291242558158933,	3.1774769658826085,	0.433579399700237,	6.155000000000002,	6.588579399700239,	54.746428032435816,	541.4650328,	596.2114608324358,	
FC3_2,	GEMM,	0.1807752947216313,	46.392658480070374,	0.0,	0.01262102060726819,	46.58605479539927,	356.3135352,	402.89958999539925,	0.4555845410260552,	6.2320820126192595,	0.5105190218368831,	0.5286082618541157,	7.726793837336313,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	186.72329143733631,	0.03295461013975762,	0.47626448761777723,	0.5092190977575349,	0.03295461013975762,	0.47626448761777723,	0.5092190977575349,	0.21931746935400626,	2.173346768948554,	2.3926642383025607,	0.14835271006671552,	3.0291242558158933,	3.1774769658826085,	0.433579399700237,	6.155000000000002,	6.588579399700239,	54.746428032435816,	541.4650328,	596.2114608324358,	
FC3_3,	GEMM,	0.1807752947216313,	46.392658480070374,	0.0,	0.01262102060726819,	46.58605479539927,	356.3135352,	402.89958999539925,	0.4555845410260552,	6.2320820126192595,	0.5105190218368831,	0.5286082618541157,	7.726793837336313,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	186.72329143733631,	0.03295461013975762,	0.47626448761777723,	0.5092190977575349,	0.03295461013975762,	0.47626448761777723,	0.5092190977575349,	0.21931746935400626,	2.173346768948554,	2.3926642383025607,	0.14835271006671552,	3.0291242558158933,	3.1774769658826085,	0.433579399700237,	6.155000000000002,	6.588579399700239,	54.746428032435816,	541.4650328,	596.2114608324358,	
FC3_4,	GEMM,	0.1807752947216313,	46.392658480070374,	0.0,	0.01262102060726819,	46.58605479539927,	356.3135352,	402.89958999539925,	0.4555845410260552,	6.2320820126192595,	0.5105190218368831,	0.5286082618541157,	7.726793837336313,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	186.72329143733631,	0.03295461013975762,	0.47626448761777723,	0.5092190977575349,	0.03295461013975762,	0.47626448761777723,	0.5092190977575349,	0.21931746935400626,	2.173346768948554,	2.3926642383025607,	0.14835271006671552,	3.0291242558158933,	3.1774769658826085,	0.433579399700237,	6.155000000000002,	6.588579399700239,	54.746428032435816,	541.4650328,	596.2114608324358,	
FC3_5,	GEMM,	0.1807752947216313,	46.392658480070374,	0.0,	0.01262102060726819,	46.58605479539927,	356.3135352,	402.89958999539925,	0.4555845410260552,	6.2320820126192595,	0.5105190218368831,	0.5286082618541157,	7.726793837336313,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	186.72329143733631,	0.03295461013975762,	0.47626448761777723,	0.5092190977575349,	0.03295461013975762,	0.47626448761777723,	0.5092190977575349,	0.21931746935400626,	2.173346768948554,	2.3926642383025607,	0.14835271006671552,	3.0291242558158933,	3.1774769658826085,	0.433579399700237,	6.155000000000002,	6.588579399700239,	54.746428032435816,	541.4650328,	596.2114608324358,	
FC3_6,	GEMM,	0.1807752947216313,	46.392658480070374,	0.0,	0.01262102060726819,	46.58605479539927,	356.3135352,	402.89958999539925,	0.4555845410260552,	6.2320820126192595,	0.5105190218368831,	0.5286082618541157,	7.726793837336313,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	186.72329143733631,	0.03295461013975762,	0.47626448761777723,	0.5092190977575349,	0.03295461013975762,	0.47626448761777723,	0.5092190977575349,	0.21931746935400626,	2.173346768948554,	2.3926642383025607,	0.14835271006671552,	3.0291242558158933,	3.1774769658826085,	0.433579399700237,	6.155000000000002,	6.588579399700239,	54.746428032435816,	541.4650328,	596.2114608324358,	
FC3_7,	GEMM,	0.1807752947216313,	46.392658480070374,	0.0,	0.01262102060726819,	46.58605479539927,	356.3135352,	402.89958999539925,	0.4555845410260552,	6.2320820126192595,	0.5105190218368831,	0.5286082618541157,	7.726793837336313,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	186.72329143733631,	0.03295461013975762,	0.47626448761777723,	0.5092190977575349,	0.03295461013975762,	0.47626448761777723,	0.5092190977575349,	0.21931746935400626,	2.173346768948554,	2.3926642383025607,	0.14835271006671552,	3.0291242558158933,	3.1774769658826085,	0.433579399700237,	6.155000000000002,	6.588579399700239,	54.746428032435816,	541.4650328,	596.2114608324358,	
FC3_8,	GEMM,	0.1807752947216313,	46.392658480070374,	0.0,	0.01262102060726819,	46.58605479539927,	356.3135352,	402.89958999539925,	0.4555845410260552,	6.2320820126192595,	0.5105190218368831,	0.5286082618541157,	7.726793837336313,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	186.72329143733631,	0.03295461013975762,	0.47626448761777723,	0.5092190977575349,	0.03295461013975762,	0.47626448761777723,	0.5092190977575349,	0.21931746935400626,	2.173346768948554,	2.3926642383025607,	0.14835271006671552,	3.0291242558158933,	3.1774769658826085,	0.433579399700237,	6.155000000000002,	6.588579399700239,	54.746428032435816,	541.4650328,	596.2114608324358,	
FC3_9,	GEMM,	0.1807752947216313,	46.392658480070374,	0.0,	0.01262102060726819,	46.58605479539927,	356.3135352,	402.89958999539925,	0.4555845410260552,	6.2320820126192595,	0.5105190218368831,	0.5286082618541157,	7.726793837336313,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	186.72329143733631,	0.03295461013975762,	0.47626448761777723,	0.5092190977575349,	0.03295461013975762,	0.47626448761777723,	0.5092190977575349,	0.21931746935400626,	2.173346768948554,	2.3926642383025607,	0.14835271006671552,	3.0291242558158933,	3.1774769658826085,	0.433579399700237,	6.155000000000002,	6.588579399700239,	54.746428032435816,	541.4650328,	596.2114608324358,	
RNN4_FG_0,	GEMM,	0.4803869094483031,	30.711535922683797,	0.0,	0.09271661721923732,	31.284639449351335,	356.3135352,	387.59817464935134,	0.31902335801336656,	4.135999580657844,	0.3307178739352641,	0.35457778580788885,	5.140318598414363,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	184.13681619841438,	0.023021832991351538,	0.47626448761777723,	0.4992863206091288,	0.023021832991351538,	0.47626448761777723,	0.4992863206091288,	0.14703802852164363,	2.173346768948554,	2.320384797470198,	0.09946079570543967,	3.0291242558158933,	3.1285850515213327,	0.2925424902097864,	6.155000000000002,	6.447542490209789,	36.71750053797548,	541.4650328,	578.1825333379755,	
RNN4_NG_0,	GEMM,	0.4803869094483031,	30.711535922683797,	0.0,	0.09271661721923732,	31.284639449351335,	356.3135352,	387.59817464935134,	0.31902335801336656,	4.135999580657844,	0.3307178739352641,	0.35457778580788885,	5.140318598414363,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	184.13681619841438,	0.023021832991351538,	0.47626448761777723,	0.4992863206091288,	0.023021832991351538,	0.47626448761777723,	0.4992863206091288,	0.14703802852164363,	2.173346768948554,	2.320384797470198,	0.09946079570543967,	3.0291242558158933,	3.1285850515213327,	0.2925424902097864,	6.155000000000002,	6.447542490209789,	36.71750053797548,	541.4650328,	578.1825333379755,	
RNN4_ptwise1_0,	GEMM,	4.952239637583893,	4.952239637583893,	0.0,	0.6281846040268456,	10.532663879194631,	356.3135352,	366.8461990791946,	0.6619507718120805,	0.6619507718120805,	0.050894345637583896,	0.07319775503355705,	1.447993644295302,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	180.44449124429534,	0.04716231075355801,	0.4762644876177772,	0.5234267983713352,	0.04716231075355801,	0.4762644876177772,	0.5234267983713352,	0.2789080774667319,	2.173346768948554,	2.4522548464152862,	0.18866152921407162,	3.0291242558158933,	3.2177857850299647,	0.5618942281879196,	6.155000000000002,	6.716894228187922,	12.542551751677852,	541.4650328,	554.0075845516778,	
RNN4_ptwise2_0,	GEMM,	4.952239637583893,	4.952239637583893,	0.0,	0.6281846040268456,	10.532663879194631,	356.3135352,	366.8461990791946,	0.6619507718120805,	0.6619507718120805,	0.050894345637583896,	0.07319775503355705,	1.447993644295302,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	180.44449124429534,	0.04716231075355801,	0.4762644876177772,	0.5234267983713352,	0.04716231075355801,	0.4762644876177772,	0.5234267983713352,	0.2789080774667319,	2.173346768948554,	2.4522548464152862,	0.18866152921407162,	3.0291242558158933,	3.2177857850299647,	0.5618942281879196,	6.155000000000002,	6.716894228187922,	12.542551751677852,	541.4650328,	554.0075845516778,	
RNN4_FG_1,	GEMM,	0.4803869094483031,	30.711535922683797,	0.0,	0.09271661721923732,	31.284639449351335,	356.3135352,	387.59817464935134,	0.31902335801336656,	4.135999580657844,	0.3307178739352641,	0.35457778580788885,	5.140318598414363,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	184.13681619841438,	0.023021832991351538,	0.47626448761777723,	0.4992863206091288,	0.023021832991351538,	0.47626448761777723,	0.4992863206091288,	0.14703802852164363,	2.173346768948554,	2.320384797470198,	0.09946079570543967,	3.0291242558158933,	3.1285850515213327,	0.2925424902097864,	6.155000000000002,	6.447542490209789,	36.71750053797548,	541.4650328,	578.1825333379755,	
RNN4_NG_1,	GEMM,	0.4803869094483031,	30.711535922683797,	0.0,	0.09271661721923732,	31.284639449351335,	356.3135352,	387.59817464935134,	0.31902335801336656,	4.135999580657844,	0.3307178739352641,	0.35457778580788885,	5.140318598414363,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	184.13681619841438,	0.023021832991351538,	0.47626448761777723,	0.4992863206091288,	0.023021832991351538,	0.47626448761777723,	0.4992863206091288,	0.14703802852164363,	2.173346768948554,	2.320384797470198,	0.09946079570543967,	3.0291242558158933,	3.1285850515213327,	0.2925424902097864,	6.155000000000002,	6.447542490209789,	36.71750053797548,	541.4650328,	578.1825333379755,	
RNN4_ptwise1_1,	GEMM,	4.952239637583893,	4.952239637583893,	0.0,	0.6281846040268456,	10.532663879194631,	356.3135352,	366.8461990791946,	0.6619507718120805,	0.6619507718120805,	0.050894345637583896,	0.07319775503355705,	1.447993644295302,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	180.44449124429534,	0.04716231075355801,	0.4762644876177772,	0.5234267983713352,	0.04716231075355801,	0.4762644876177772,	0.5234267983713352,	0.2789080774667319,	2.173346768948554,	2.4522548464152862,	0.18866152921407162,	3.0291242558158933,	3.2177857850299647,	0.5618942281879196,	6.155000000000002,	6.716894228187922,	12.542551751677852,	541.4650328,	554.0075845516778,	
RNN4_ptwise2_1,	GEMM,	4.952239637583893,	4.952239637583893,	0.0,	0.6281846040268456,	10.532663879194631,	356.3135352,	366.8461990791946,	0.6619507718120805,	0.6619507718120805,	0.050894345637583896,	0.07319775503355705,	1.447993644295302,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	180.44449124429534,	0.04716231075355801,	0.4762644876177772,	0.5234267983713352,	0.04716231075355801,	0.4762644876177772,	0.5234267983713352,	0.2789080774667319,	2.173346768948554,	2.4522548464152862,	0.18866152921407162,	3.0291242558158933,	3.2177857850299647,	0.5618942281879196,	6.155000000000002,	6.716894228187922,	12.542551751677852,	541.4650328,	554.0075845516778,	
RNN4_FG_2,	GEMM,	0.4803869094483031,	30.711535922683797,	0.0,	0.09271661721923732,	31.284639449351335,	356.3135352,	387.59817464935134,	0.31902335801336656,	4.135999580657844,	0.3307178739352641,	0.35457778580788885,	5.140318598414363,	59.665499200000006,	59.665499200000006,	59.665499200000006,	178.99649760000003,	184.13681619841438,	0.023021832991351538,	0.47626448761777723,	0.4992863206091288,	0.023021832991351538,	0.47626448761777723,	0.4992863206091288,	0.14703802852164363,	2.173346768948554,	2.320384797470198,	0.09946079570543967,	3.0291242558158933,	3.1285850515213327,	0.2925424902097864,	6.155000000000002,	6.447542490209789,	36.71750053797548,	541.4650328,	578.1825333379755,	
