Layer,	Type,	DRAM I RD (D) (mW),	DRAM F RD (D) (mW),	DRAM O RD (D) (mW),	DRAM O WR (D) (mW),	DRAM Total (D) (mW),	DRAM Total (L) (mW),	DRAM Total (D+L) (mW),	SRAM I RD (D) (mW),	SRAM F RD (D) (mW),	SRAM O RD (D) (mW),	SRAM O WR (D) (mW),	SRAM Total (D) (mW),	SRAM I (L) (mW),	SRAM F (L) (mW),	SRAM O (L) (mW),	SRAM Total (L) (mW),	SRAM Total (D+L) (mW),	IREG (D) (mW),	IREG (L) (mW),	IREG Total (D+L) (mW),	WREG (D) (mW),	WREG (L) (mW),	WREG Total (D+L) (mW),	MUL (D) (mW),	MUL (L) (mW),	MUL Total (D+L) (mW),	ACC (D) (mW),	ACC (L) (mW),	ACC Total (D+L) (mW),	Systolic Array Total (D) (mW),	Systolic Array Total (L) (mW),	Systolic Array Total (D+L) (mW),	System Total (D) (mW),	System Total (L) (mW),	System Total (D+L) (mW),	
Conv1_6,	GEMM,	5.443282331843576,	6.991379762011173,	0.0,	53.46961896536313,	65.90428105921788,	356.31353519999993,	422.2178162592178,	1.1936370424581004,	0.20589971480446928,	0.0,	2.7368280050279328,	4.136364762290503,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	183.1328623622905,	0.07430981006002546,	0.47626448761777723,	0.5505742976778026,	0.008359853631752864,	0.47626448761777723,	0.4846243412495301,	0.4394527309965646,	2.173346768948554,	2.6127994999451185,	0.297258598604055,	3.0291242558158933,	3.3263828544199483,	0.819380993292398,	6.155000000000002,	6.9743809932924,	70.86002681480078,	541.4650328,	612.3250596148008,	
Conv2_6,	GEMM,	6.109754885737179,	15.996026381009617,	0.0,	7.667331367067308,	29.773112633814105,	356.3135352,	386.0866478338141,	5.107590219491186,	2.1541587548076926,	6.376498734375,	7.1943528439903845,	20.832600552664264,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	199.82909815266427,	0.0995211101017246,	0.47626448761777723,	0.5757855977195019,	0.014388594231574642,	0.47626448761777723,	0.4906530818493519,	0.5885471055663426,	2.173346768948554,	2.761893874514897,	0.3981103665379008,	3.0291242558158933,	3.427234622353794,	1.1005671764375426,	6.155000000000002,	7.255567176437545,	51.70628036291591,	541.4650328,	593.1713131629159,	
Conv1_7,	GEMM,	5.443282331843576,	6.991379762011173,	0.0,	53.46961896536313,	65.90428105921788,	356.31353519999993,	422.2178162592178,	1.1936370424581004,	0.20589971480446928,	0.0,	2.7368280050279328,	4.136364762290503,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	183.1328623622905,	0.07430981006002546,	0.47626448761777723,	0.5505742976778026,	0.008359853631752864,	0.47626448761777723,	0.4846243412495301,	0.4394527309965646,	2.173346768948554,	2.6127994999451185,	0.297258598604055,	3.0291242558158933,	3.3263828544199483,	0.819380993292398,	6.155000000000002,	6.9743809932924,	70.86002681480078,	541.4650328,	612.3250596148008,	
Conv2_7,	GEMM,	6.109754885737179,	15.996026381009617,	0.0,	7.667331367067308,	29.773112633814105,	356.3135352,	386.0866478338141,	5.107590219491186,	2.1541587548076926,	6.376498734375,	7.1943528439903845,	20.832600552664264,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	199.82909815266427,	0.0995211101017246,	0.47626448761777723,	0.5757855977195019,	0.014388594231574642,	0.47626448761777723,	0.4906530818493519,	0.5885471055663426,	2.173346768948554,	2.761893874514897,	0.3981103665379008,	3.0291242558158933,	3.427234622353794,	1.1005671764375426,	6.155000000000002,	7.255567176437545,	51.70628036291591,	541.4650328,	593.1713131629159,	
Conv1_8,	GEMM,	5.443282331843576,	6.991379762011173,	0.0,	53.46961896536313,	65.90428105921788,	356.31353519999993,	422.2178162592178,	1.1936370424581004,	0.20589971480446928,	0.0,	2.7368280050279328,	4.136364762290503,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	183.1328623622905,	0.07430981006002546,	0.47626448761777723,	0.5505742976778026,	0.008359853631752864,	0.47626448761777723,	0.4846243412495301,	0.4394527309965646,	2.173346768948554,	2.6127994999451185,	0.297258598604055,	3.0291242558158933,	3.3263828544199483,	0.819380993292398,	6.155000000000002,	6.9743809932924,	70.86002681480078,	541.4650328,	612.3250596148008,	
Conv2_8,	GEMM,	6.109754885737179,	15.996026381009617,	0.0,	7.667331367067308,	29.773112633814105,	356.3135352,	386.0866478338141,	5.107590219491186,	2.1541587548076926,	6.376498734375,	7.1943528439903845,	20.832600552664264,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	199.82909815266427,	0.0995211101017246,	0.47626448761777723,	0.5757855977195019,	0.014388594231574642,	0.47626448761777723,	0.4906530818493519,	0.5885471055663426,	2.173346768948554,	2.761893874514897,	0.3981103665379008,	3.0291242558158933,	3.427234622353794,	1.1005671764375426,	6.155000000000002,	7.255567176437545,	51.70628036291591,	541.4650328,	593.1713131629159,	
Conv1_9,	GEMM,	5.443282331843576,	6.991379762011173,	0.0,	53.46961896536313,	65.90428105921788,	356.31353519999993,	422.2178162592178,	1.1936370424581004,	0.20589971480446928,	0.0,	2.7368280050279328,	4.136364762290503,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	183.1328623622905,	0.07430981006002546,	0.47626448761777723,	0.5505742976778026,	0.008359853631752864,	0.47626448761777723,	0.4846243412495301,	0.4394527309965646,	2.173346768948554,	2.6127994999451185,	0.297258598604055,	3.0291242558158933,	3.3263828544199483,	0.819380993292398,	6.155000000000002,	6.9743809932924,	70.86002681480078,	541.4650328,	612.3250596148008,	
Conv2_9,	GEMM,	6.109754885737179,	15.996026381009617,	0.0,	7.667331367067308,	29.773112633814105,	356.3135352,	386.0866478338141,	5.107590219491186,	2.1541587548076926,	6.376498734375,	7.1943528439903845,	20.832600552664264,	59.6654992,	59.6654992,	59.6654992,	178.99649760000003,	199.82909815266427,	0.0995211101017246,	0.47626448761777723,	0.5757855977195019,	0.014388594231574642,	0.47626448761777723,	0.4906530818493519,	0.5885471055663426,	2.173346768948554,	2.761893874514897,	0.3981103665379008,	3.0291242558158933,	3.427234622353794,	1.1005671764375426,	6.155000000000002,	7.255567176437545,	51.70628036291591,	541.4650328,	593.1713131629159,	
FC3_0,	GEMM,	0.273745446292756,	70.25173998410656,	0.0,	0.01911183120529183,	70.54459726160461,	356.3135352,	426.8581324616046,	0.6898851621251694,	9.437152761966308,	0.7730716616387087,	0.8004639393790894,	11.700573525109274,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	190.6970711251093,	0.04990269535449011,	0.47626448761777723,	0.5261671829722673,	0.04990269535449011,	0.47626448761777723,	0.5261671829722673,	0.33210931073606664,	2.173346768948554,	2.5054560796846213,	0.2246483895295978,	3.0291242558158933,	3.2537726453454914,	0.6565630909746446,	6.155000000000002,	6.811563090974647,	82.90173387768853,	541.4650328,	624.3667666776886,	
FC3_1,	GEMM,	0.273745446292756,	70.25173998410656,	0.0,	0.01911183120529183,	70.54459726160461,	356.3135352,	426.8581324616046,	0.6898851621251694,	9.437152761966308,	0.7730716616387087,	0.8004639393790894,	11.700573525109274,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	190.6970711251093,	0.04990269535449011,	0.47626448761777723,	0.5261671829722673,	0.04990269535449011,	0.47626448761777723,	0.5261671829722673,	0.33210931073606664,	2.173346768948554,	2.5054560796846213,	0.2246483895295978,	3.0291242558158933,	3.2537726453454914,	0.6565630909746446,	6.155000000000002,	6.811563090974647,	82.90173387768853,	541.4650328,	624.3667666776886,	
FC3_2,	GEMM,	0.273745446292756,	70.25173998410656,	0.0,	0.01911183120529183,	70.54459726160461,	356.3135352,	426.8581324616046,	0.6898851621251694,	9.437152761966308,	0.7730716616387087,	0.8004639393790894,	11.700573525109274,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	190.6970711251093,	0.04990269535449011,	0.47626448761777723,	0.5261671829722673,	0.04990269535449011,	0.47626448761777723,	0.5261671829722673,	0.33210931073606664,	2.173346768948554,	2.5054560796846213,	0.2246483895295978,	3.0291242558158933,	3.2537726453454914,	0.6565630909746446,	6.155000000000002,	6.811563090974647,	82.90173387768853,	541.4650328,	624.3667666776886,	
FC3_3,	GEMM,	0.273745446292756,	70.25173998410656,	0.0,	0.01911183120529183,	70.54459726160461,	356.3135352,	426.8581324616046,	0.6898851621251694,	9.437152761966308,	0.7730716616387087,	0.8004639393790894,	11.700573525109274,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	190.6970711251093,	0.04990269535449011,	0.47626448761777723,	0.5261671829722673,	0.04990269535449011,	0.47626448761777723,	0.5261671829722673,	0.33210931073606664,	2.173346768948554,	2.5054560796846213,	0.2246483895295978,	3.0291242558158933,	3.2537726453454914,	0.6565630909746446,	6.155000000000002,	6.811563090974647,	82.90173387768853,	541.4650328,	624.3667666776886,	
FC3_4,	GEMM,	0.273745446292756,	70.25173998410656,	0.0,	0.01911183120529183,	70.54459726160461,	356.3135352,	426.8581324616046,	0.6898851621251694,	9.437152761966308,	0.7730716616387087,	0.8004639393790894,	11.700573525109274,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	190.6970711251093,	0.04990269535449011,	0.47626448761777723,	0.5261671829722673,	0.04990269535449011,	0.47626448761777723,	0.5261671829722673,	0.33210931073606664,	2.173346768948554,	2.5054560796846213,	0.2246483895295978,	3.0291242558158933,	3.2537726453454914,	0.6565630909746446,	6.155000000000002,	6.811563090974647,	82.90173387768853,	541.4650328,	624.3667666776886,	
FC3_5,	GEMM,	0.273745446292756,	70.25173998410656,	0.0,	0.01911183120529183,	70.54459726160461,	356.3135352,	426.8581324616046,	0.6898851621251694,	9.437152761966308,	0.7730716616387087,	0.8004639393790894,	11.700573525109274,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	190.6970711251093,	0.04990269535449011,	0.47626448761777723,	0.5261671829722673,	0.04990269535449011,	0.47626448761777723,	0.5261671829722673,	0.33210931073606664,	2.173346768948554,	2.5054560796846213,	0.2246483895295978,	3.0291242558158933,	3.2537726453454914,	0.6565630909746446,	6.155000000000002,	6.811563090974647,	82.90173387768853,	541.4650328,	624.3667666776886,	
FC3_6,	GEMM,	0.273745446292756,	70.25173998410656,	0.0,	0.01911183120529183,	70.54459726160461,	356.3135352,	426.8581324616046,	0.6898851621251694,	9.437152761966308,	0.7730716616387087,	0.8004639393790894,	11.700573525109274,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	190.6970711251093,	0.04990269535449011,	0.47626448761777723,	0.5261671829722673,	0.04990269535449011,	0.47626448761777723,	0.5261671829722673,	0.33210931073606664,	2.173346768948554,	2.5054560796846213,	0.2246483895295978,	3.0291242558158933,	3.2537726453454914,	0.6565630909746446,	6.155000000000002,	6.811563090974647,	82.90173387768853,	541.4650328,	624.3667666776886,	
FC3_7,	GEMM,	0.273745446292756,	70.25173998410656,	0.0,	0.01911183120529183,	70.54459726160461,	356.3135352,	426.8581324616046,	0.6898851621251694,	9.437152761966308,	0.7730716616387087,	0.8004639393790894,	11.700573525109274,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	190.6970711251093,	0.04990269535449011,	0.47626448761777723,	0.5261671829722673,	0.04990269535449011,	0.47626448761777723,	0.5261671829722673,	0.33210931073606664,	2.173346768948554,	2.5054560796846213,	0.2246483895295978,	3.0291242558158933,	3.2537726453454914,	0.6565630909746446,	6.155000000000002,	6.811563090974647,	82.90173387768853,	541.4650328,	624.3667666776886,	
FC3_8,	GEMM,	0.273745446292756,	70.25173998410656,	0.0,	0.01911183120529183,	70.54459726160461,	356.3135352,	426.8581324616046,	0.6898851621251694,	9.437152761966308,	0.7730716616387087,	0.8004639393790894,	11.700573525109274,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	190.6970711251093,	0.04990269535449011,	0.47626448761777723,	0.5261671829722673,	0.04990269535449011,	0.47626448761777723,	0.5261671829722673,	0.33210931073606664,	2.173346768948554,	2.5054560796846213,	0.2246483895295978,	3.0291242558158933,	3.2537726453454914,	0.6565630909746446,	6.155000000000002,	6.811563090974647,	82.90173387768853,	541.4650328,	624.3667666776886,	
FC3_9,	GEMM,	0.273745446292756,	70.25173998410656,	0.0,	0.01911183120529183,	70.54459726160461,	356.3135352,	426.8581324616046,	0.6898851621251694,	9.437152761966308,	0.7730716616387087,	0.8004639393790894,	11.700573525109274,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	190.6970711251093,	0.04990269535449011,	0.47626448761777723,	0.5261671829722673,	0.04990269535449011,	0.47626448761777723,	0.5261671829722673,	0.33210931073606664,	2.173346768948554,	2.5054560796846213,	0.2246483895295978,	3.0291242558158933,	3.2537726453454914,	0.6565630909746446,	6.155000000000002,	6.811563090974647,	82.90173387768853,	541.4650328,	624.3667666776886,	
RNN4_FG_0,	GEMM,	0.7274430343074303,	46.5060401114926,	0.0,	0.14039944893198794,	47.373882594732024,	356.3135352,	403.687417794732,	0.4830925135630979,	6.263085079281876,	0.5008013519591141,	0.536932075651946,	7.783911020456036,	59.6654992,	59.6654992,	59.6654992,	178.99649759999997,	186.78040862045603,	0.034861632815475184,	0.47626448761777723,	0.5111261204332525,	0.034861632815475184,	0.47626448761777723,	0.5111261204332525,	0.22265758604706032,	2.173346768948554,	2.3960043549956147,	0.1506120620682372,	3.0291242558158933,	3.1797363178841307,	0.44299291374624794,	6.155000000000002,	6.59799291374625,	55.6007865289343,	541.4650328,	597.0658193289344,	
RNN4_NG_0,	GEMM,	0.7274430343074303,	46.5060401114926,	0.0,	0.14039944893198794,	47.373882594732024,	356.3135352,	403.687417794732,	0.4830925135630979,	6.263085079281876,	0.5008013519591141,	0.536932075651946,	7.783911020456036,	59.6654992,	59.6654992,	59.6654992,	178.99649759999997,	186.78040862045603,	0.034861632815475184,	0.47626448761777723,	0.5111261204332525,	0.034861632815475184,	0.47626448761777723,	0.5111261204332525,	0.22265758604706032,	2.173346768948554,	2.3960043549956147,	0.1506120620682372,	3.0291242558158933,	3.1797363178841307,	0.44299291374624794,	6.155000000000002,	6.59799291374625,	55.6007865289343,	541.4650328,	597.0658193289344,	
RNN4_ptwise1_0,	GEMM,	7.499105736912752,	7.499105736912752,	0.0,	0.9512509718120805,	15.949462445637584,	356.3135352,	372.2629976456376,	1.0023825973154363,	1.0023825973154363,	0.07706858053691275,	0.11084231476510066,	2.192676089932886,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	181.1891736899329,	0.07141721342681641,	0.4762644876177772,	0.5476817010445937,	0.07141721342681641,	0.4762644876177772,	0.5476817010445937,	0.4223465173067654,	2.173346768948554,	2.5956932862553197,	0.28568745852416555,	3.0291242558158933,	3.314811714340059,	0.8508684026845638,	6.155000000000002,	7.005868402684566,	18.993006938255032,	541.4650328,	560.458039738255,	
RNN4_ptwise2_0,	GEMM,	7.499105736912752,	7.499105736912752,	0.0,	0.9512509718120805,	15.949462445637584,	356.3135352,	372.2629976456376,	1.0023825973154363,	1.0023825973154363,	0.07706858053691275,	0.11084231476510066,	2.192676089932886,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	181.1891736899329,	0.07141721342681641,	0.4762644876177772,	0.5476817010445937,	0.07141721342681641,	0.4762644876177772,	0.5476817010445937,	0.4223465173067654,	2.173346768948554,	2.5956932862553197,	0.28568745852416555,	3.0291242558158933,	3.314811714340059,	0.8508684026845638,	6.155000000000002,	7.005868402684566,	18.993006938255032,	541.4650328,	560.458039738255,	
RNN4_FG_1,	GEMM,	0.7274430343074303,	46.5060401114926,	0.0,	0.14039944893198794,	47.373882594732024,	356.3135352,	403.687417794732,	0.4830925135630979,	6.263085079281876,	0.5008013519591141,	0.536932075651946,	7.783911020456036,	59.6654992,	59.6654992,	59.6654992,	178.99649759999997,	186.78040862045603,	0.034861632815475184,	0.47626448761777723,	0.5111261204332525,	0.034861632815475184,	0.47626448761777723,	0.5111261204332525,	0.22265758604706032,	2.173346768948554,	2.3960043549956147,	0.1506120620682372,	3.0291242558158933,	3.1797363178841307,	0.44299291374624794,	6.155000000000002,	6.59799291374625,	55.6007865289343,	541.4650328,	597.0658193289344,	
RNN4_NG_1,	GEMM,	0.7274430343074303,	46.5060401114926,	0.0,	0.14039944893198794,	47.373882594732024,	356.3135352,	403.687417794732,	0.4830925135630979,	6.263085079281876,	0.5008013519591141,	0.536932075651946,	7.783911020456036,	59.6654992,	59.6654992,	59.6654992,	178.99649759999997,	186.78040862045603,	0.034861632815475184,	0.47626448761777723,	0.5111261204332525,	0.034861632815475184,	0.47626448761777723,	0.5111261204332525,	0.22265758604706032,	2.173346768948554,	2.3960043549956147,	0.1506120620682372,	3.0291242558158933,	3.1797363178841307,	0.44299291374624794,	6.155000000000002,	6.59799291374625,	55.6007865289343,	541.4650328,	597.0658193289344,	
RNN4_ptwise1_1,	GEMM,	7.499105736912752,	7.499105736912752,	0.0,	0.9512509718120805,	15.949462445637584,	356.3135352,	372.2629976456376,	1.0023825973154363,	1.0023825973154363,	0.07706858053691275,	0.11084231476510066,	2.192676089932886,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	181.1891736899329,	0.07141721342681641,	0.4762644876177772,	0.5476817010445937,	0.07141721342681641,	0.4762644876177772,	0.5476817010445937,	0.4223465173067654,	2.173346768948554,	2.5956932862553197,	0.28568745852416555,	3.0291242558158933,	3.314811714340059,	0.8508684026845638,	6.155000000000002,	7.005868402684566,	18.993006938255032,	541.4650328,	560.458039738255,	
RNN4_ptwise2_1,	GEMM,	7.499105736912752,	7.499105736912752,	0.0,	0.9512509718120805,	15.949462445637584,	356.3135352,	372.2629976456376,	1.0023825973154363,	1.0023825973154363,	0.07706858053691275,	0.11084231476510066,	2.192676089932886,	59.6654992,	59.6654992,	59.6654992,	178.9964976,	181.1891736899329,	0.07141721342681641,	0.4762644876177772,	0.5476817010445937,	0.07141721342681641,	0.4762644876177772,	0.5476817010445937,	0.4223465173067654,	2.173346768948554,	2.5956932862553197,	0.28568745852416555,	3.0291242558158933,	3.314811714340059,	0.8508684026845638,	6.155000000000002,	7.005868402684566,	18.993006938255032,	541.4650328,	560.458039738255,	
RNN4_FG_2,	GEMM,	0.7274430343074303,	46.5060401114926,	0.0,	0.14039944893198794,	47.373882594732024,	356.3135352,	403.687417794732,	0.4830925135630979,	6.263085079281876,	0.5008013519591141,	0.536932075651946,	7.783911020456036,	59.6654992,	59.6654992,	59.6654992,	178.99649759999997,	186.78040862045603,	0.034861632815475184,	0.47626448761777723,	0.5111261204332525,	0.034861632815475184,	0.47626448761777723,	0.5111261204332525,	0.22265758604706032,	2.173346768948554,	2.3960043549956147,	0.1506120620682372,	3.0291242558158933,	3.1797363178841307,	0.44299291374624794,	6.155000000000002,	6.59799291374625,	55.6007865289343,	541.4650328,	597.0658193289344,	
