Layer,	Type,	Cycle Total (Cycles),	Time Total (Secs),	Throughput (Frames/sec),	
RNN4_ptwise1_6,	GEMM,	149.0,	1.419047619047619e-06,	704697.9865771811,	
RNN4_ptwise2_6,	GEMM,	149.0,	1.419047619047619e-06,	704697.9865771811,	
RNN4_FG_7,	GEMM,	7631.0,	7.267619047619048e-05,	13759.664526274406,	
RNN4_NG_7,	GEMM,	7631.0,	7.267619047619048e-05,	13759.664526274406,	
RNN4_ptwise1_7,	GEMM,	149.0,	1.419047619047619e-06,	704697.9865771811,	
RNN4_ptwise2_7,	GEMM,	149.0,	1.419047619047619e-06,	704697.9865771811,	
RNN4_FG_8,	GEMM,	7631.0,	7.267619047619048e-05,	13759.664526274406,	
RNN4_NG_8,	GEMM,	7631.0,	7.267619047619048e-05,	13759.664526274406,	
RNN4_ptwise1_8,	GEMM,	149.0,	1.419047619047619e-06,	704697.9865771811,	
RNN4_ptwise2_8,	GEMM,	149.0,	1.419047619047619e-06,	704697.9865771811,	
RNN4_FG_9,	GEMM,	7631.0,	7.267619047619048e-05,	13759.664526274406,	
RNN4_NG_9,	GEMM,	7631.0,	7.267619047619048e-05,	13759.664526274406,	
RNN4_ptwise1_9,	GEMM,	149.0,	1.419047619047619e-06,	704697.9865771811,	
RNN4_ptwise2_9,	GEMM,	149.0,	1.419047619047619e-06,	704697.9865771811,	
FC5,	GEMM,	205.0,	1.9523809523809527e-06,	512195.1219512194,	
FC6,	GEMM,	163.0,	1.5523809523809523e-06,	644171.7791411043,	
eyeriss_08b_bp_001c_uBrain_t2_ddr3_w__spm,	All,	2434928.0,	0.02318979047619047,	43.12242497519435,	
