Layer,	Type,	Cycle Total (Cycles),	Time Total (Secs),	Throughput (Frames/sec),	
RNN4_ptwise2_7,	GEMM,	149.0,	3.3111111111111114e-06,	302013.42281879194,	
RNN4_FG_8,	GEMM,	7631.0,	0.00016957777777777778,	5896.999082689032,	
RNN4_NG_8,	GEMM,	7631.0,	0.00016957777777777778,	5896.999082689032,	
RNN4_ptwise1_8,	GEMM,	149.0,	3.3111111111111114e-06,	302013.42281879194,	
RNN4_ptwise2_8,	GEMM,	149.0,	3.3111111111111114e-06,	302013.42281879194,	
RNN4_FG_9,	GEMM,	7631.0,	0.00016957777777777778,	5896.999082689032,	
RNN4_NG_9,	GEMM,	7631.0,	0.00016957777777777778,	5896.999082689032,	
RNN4_ptwise1_9,	GEMM,	149.0,	3.3111111111111114e-06,	302013.42281879194,	
RNN4_ptwise2_9,	GEMM,	149.0,	3.3111111111111114e-06,	302013.42281879194,	
FC5,	GEMM,	205.0,	4.555555555555555e-06,	219512.19512195123,	
FC6,	GEMM,	163.0,	3.6222222222222222e-06,	276073.61963190185,	
eyeriss_08b_bp_001c_uBrain_t6_ddr3_w__spm,	All,	2437808.0,	0.05417351111111111,	18.459205975203954,	
