Layer,	Type,	DRAM I RD (D) (nJ),	DRAM F RD (D) (nJ),	DRAM O RD (D) (nJ),	DRAM O WR (D) (nJ),	DRAM Total (D) (nJ),	DRAM Total (L) (nJ),	DRAM Total (D+L) (nJ),	SRAM I RD (D) (nJ),	SRAM F RD (D) (nJ),	SRAM O RD (D) (nJ),	SRAM O WR (D) (nJ),	SRAM Total (D) (nJ),	SRAM I (L) (nJ),	SRAM F (L) (nJ),	SRAM O (L) (nJ),	SRAM Total (L) (nJ),	SRAM Total (D+L) (nJ),	IREG (D) (nJ),	IREG (L) (nJ),	IREG Total (D+L) (nJ),	WREG (D) (nJ),	WREG (L) (nJ),	WREG Total (D+L) (nJ),	MUL (D) (nJ),	MUL (L) (nJ),	MUL Total (D+L) (nJ),	ACC (D) (nJ),	ACC (L) (nJ),	ACC Total (D+L) (nJ),	Systolic Array Total (D) (nJ),	Systolic Array Total (L) (nJ),	Systolic Array Total (D+L) (nJ),	System Total (D) (nJ),	System Total (L) (nJ),	System Total (D+L) (nJ),	
RNN4_ptwise1_2,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	842.7097896,	887.5488444,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	141.11364096507936,	141.11364096507936,	141.11364096507936,	423.34092289523807,	429.50523869523806,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	1.1873515297869444,	5.140137596402136,	6.32748912618908,	0.8031590815113334,	7.164119271691558,	7.967278353202891,	2.3920640000000004,	14.557063492063497,	16.949127492063496,	53.395434599999994,	1280.6077759873015,	1334.0032105873015,	
RNN4_ptwise2_2,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	842.7097896,	887.5488444,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	141.11364096507936,	141.11364096507936,	141.11364096507936,	423.34092289523807,	429.50523869523806,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	1.1873515297869444,	5.140137596402136,	6.32748912618908,	0.8031590815113334,	7.164119271691558,	7.967278353202891,	2.3920640000000004,	14.557063492063497,	16.949127492063496,	53.395434599999994,	1280.6077759873015,	1334.0032105873015,	
RNN4_FG_3,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	43159.1839224,	49980.1291692,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	7227.101974526984,	7227.101974526984,	7227.101974526984,	21681.305923580952,	22802.042244280954,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	32.0584913042475,	263.2509395848638,	295.30943088911124,	21.685295200806003,	366.9086856528743,	388.5939808536803,	63.78262122259656,	745.5365873015876,	809.3192085241842,	8005.464188722597,	65586.02643328253,	73591.49062200513,	
RNN4_NG_3,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	43159.1839224,	49980.1291692,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	7227.101974526984,	7227.101974526984,	7227.101974526984,	21681.305923580952,	22802.042244280954,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	32.0584913042475,	263.2509395848638,	295.30943088911124,	21.685295200806003,	366.9086856528743,	388.5939808536803,	63.78262122259656,	745.5365873015876,	809.3192085241842,	8005.464188722597,	65586.02643328253,	73591.49062200513,	
RNN4_ptwise1_3,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	842.7097896,	887.5488444,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	141.11364096507936,	141.11364096507936,	141.11364096507936,	423.34092289523807,	429.50523869523806,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	1.1873515297869444,	5.140137596402136,	6.32748912618908,	0.8031590815113334,	7.164119271691558,	7.967278353202891,	2.3920640000000004,	14.557063492063497,	16.949127492063496,	53.395434599999994,	1280.6077759873015,	1334.0032105873015,	
RNN4_ptwise2_3,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	842.7097896,	887.5488444,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	141.11364096507936,	141.11364096507936,	141.11364096507936,	423.34092289523807,	429.50523869523806,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	1.1873515297869444,	5.140137596402136,	6.32748912618908,	0.8031590815113334,	7.164119271691558,	7.967278353202891,	2.3920640000000004,	14.557063492063497,	16.949127492063496,	53.395434599999994,	1280.6077759873015,	1334.0032105873015,	
RNN4_FG_4,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	43159.1839224,	49980.1291692,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	7227.101974526984,	7227.101974526984,	7227.101974526984,	21681.305923580952,	22802.042244280954,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	32.0584913042475,	263.2509395848638,	295.30943088911124,	21.685295200806003,	366.9086856528743,	388.5939808536803,	63.78262122259656,	745.5365873015876,	809.3192085241842,	8005.464188722597,	65586.02643328253,	73591.49062200513,	
RNN4_NG_4,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	43159.1839224,	49980.1291692,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	7227.101974526984,	7227.101974526984,	7227.101974526984,	21681.305923580952,	22802.042244280954,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	32.0584913042475,	263.2509395848638,	295.30943088911124,	21.685295200806003,	366.9086856528743,	388.5939808536803,	63.78262122259656,	745.5365873015876,	809.3192085241842,	8005.464188722597,	65586.02643328253,	73591.49062200513,	
RNN4_ptwise1_4,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	842.7097896,	887.5488444,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	141.11364096507936,	141.11364096507936,	141.11364096507936,	423.34092289523807,	429.50523869523806,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	1.1873515297869444,	5.140137596402136,	6.32748912618908,	0.8031590815113334,	7.164119271691558,	7.967278353202891,	2.3920640000000004,	14.557063492063497,	16.949127492063496,	53.395434599999994,	1280.6077759873015,	1334.0032105873015,	
RNN4_ptwise2_4,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	842.7097896,	887.5488444,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	141.11364096507936,	141.11364096507936,	141.11364096507936,	423.34092289523807,	429.50523869523806,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	1.1873515297869444,	5.140137596402136,	6.32748912618908,	0.8031590815113334,	7.164119271691558,	7.967278353202891,	2.3920640000000004,	14.557063492063497,	16.949127492063496,	53.395434599999994,	1280.6077759873015,	1334.0032105873015,	
RNN4_FG_5,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	43159.1839224,	49980.1291692,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	7227.101974526984,	7227.101974526984,	7227.101974526984,	21681.305923580952,	22802.042244280954,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	32.0584913042475,	263.2509395848638,	295.30943088911124,	21.685295200806003,	366.9086856528743,	388.5939808536803,	63.78262122259656,	745.5365873015876,	809.3192085241842,	8005.464188722597,	65586.02643328253,	73591.49062200513,	
RNN4_NG_5,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	43159.1839224,	49980.1291692,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	7227.101974526984,	7227.101974526984,	7227.101974526984,	21681.305923580952,	22802.042244280954,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	32.0584913042475,	263.2509395848638,	295.30943088911124,	21.685295200806003,	366.9086856528743,	388.5939808536803,	63.78262122259656,	745.5365873015876,	809.3192085241842,	8005.464188722597,	65586.02643328253,	73591.49062200513,	
RNN4_ptwise1_5,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	842.7097896,	887.5488444,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	141.11364096507936,	141.11364096507936,	141.11364096507936,	423.34092289523807,	429.50523869523806,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	1.1873515297869444,	5.140137596402136,	6.32748912618908,	0.8031590815113334,	7.164119271691558,	7.967278353202891,	2.3920640000000004,	14.557063492063497,	16.949127492063496,	53.395434599999994,	1280.6077759873015,	1334.0032105873015,	
RNN4_ptwise2_5,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	842.7097896,	887.5488444,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	141.11364096507936,	141.11364096507936,	141.11364096507936,	423.34092289523807,	429.50523869523806,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	1.1873515297869444,	5.140137596402136,	6.32748912618908,	0.8031590815113334,	7.164119271691558,	7.967278353202891,	2.3920640000000004,	14.557063492063497,	16.949127492063496,	53.395434599999994,	1280.6077759873015,	1334.0032105873015,	
RNN4_FG_6,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	43159.1839224,	49980.1291692,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	7227.101974526984,	7227.101974526984,	7227.101974526984,	21681.305923580952,	22802.042244280954,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	32.0584913042475,	263.2509395848638,	295.30943088911124,	21.685295200806003,	366.9086856528743,	388.5939808536803,	63.78262122259656,	745.5365873015876,	809.3192085241842,	8005.464188722597,	65586.02643328253,	73591.49062200513,	
RNN4_NG_6,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	43159.1839224,	49980.1291692,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	7227.101974526984,	7227.101974526984,	7227.101974526984,	21681.305923580952,	22802.042244280954,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	32.0584913042475,	263.2509395848638,	295.30943088911124,	21.685295200806003,	366.9086856528743,	388.5939808536803,	63.78262122259656,	745.5365873015876,	809.3192085241842,	8005.464188722597,	65586.02643328253,	73591.49062200513,	
RNN4_ptwise1_6,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	842.7097896,	887.5488444,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	141.11364096507936,	141.11364096507936,	141.11364096507936,	423.34092289523807,	429.50523869523806,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	1.1873515297869444,	5.140137596402136,	6.32748912618908,	0.8031590815113334,	7.164119271691558,	7.967278353202891,	2.3920640000000004,	14.557063492063497,	16.949127492063496,	53.395434599999994,	1280.6077759873015,	1334.0032105873015,	
RNN4_ptwise2_6,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	842.7097896,	887.5488444,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	141.11364096507936,	141.11364096507936,	141.11364096507936,	423.34092289523807,	429.50523869523806,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	1.1873515297869444,	5.140137596402136,	6.32748912618908,	0.8031590815113334,	7.164119271691558,	7.967278353202891,	2.3920640000000004,	14.557063492063497,	16.949127492063496,	53.395434599999994,	1280.6077759873015,	1334.0032105873015,	
RNN4_FG_7,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	43159.1839224,	49980.1291692,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	7227.101974526984,	7227.101974526984,	7227.101974526984,	21681.305923580952,	22802.042244280954,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	32.0584913042475,	263.2509395848638,	295.30943088911124,	21.685295200806003,	366.9086856528743,	388.5939808536803,	63.78262122259656,	745.5365873015876,	809.3192085241842,	8005.464188722597,	65586.02643328253,	73591.49062200513,	
RNN4_NG_7,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	43159.1839224,	49980.1291692,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	7227.101974526984,	7227.101974526984,	7227.101974526984,	21681.305923580952,	22802.042244280954,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	32.0584913042475,	263.2509395848638,	295.30943088911124,	21.685295200806003,	366.9086856528743,	388.5939808536803,	63.78262122259656,	745.5365873015876,	809.3192085241842,	8005.464188722597,	65586.02643328253,	73591.49062200513,	
RNN4_ptwise1_7,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	842.7097896,	887.5488444,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	141.11364096507936,	141.11364096507936,	141.11364096507936,	423.34092289523807,	429.50523869523806,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	1.1873515297869444,	5.140137596402136,	6.32748912618908,	0.8031590815113334,	7.164119271691558,	7.967278353202891,	2.3920640000000004,	14.557063492063497,	16.949127492063496,	53.395434599999994,	1280.6077759873015,	1334.0032105873015,	
RNN4_ptwise2_7,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	842.7097896,	887.5488444,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	141.11364096507936,	141.11364096507936,	141.11364096507936,	423.34092289523807,	429.50523869523806,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	1.1873515297869444,	5.140137596402136,	6.32748912618908,	0.8031590815113334,	7.164119271691558,	7.967278353202891,	2.3920640000000004,	14.557063492063497,	16.949127492063496,	53.395434599999994,	1280.6077759873015,	1334.0032105873015,	
RNN4_FG_8,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	43159.1839224,	49980.1291692,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	7227.101974526984,	7227.101974526984,	7227.101974526984,	21681.305923580952,	22802.042244280954,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	32.0584913042475,	263.2509395848638,	295.30943088911124,	21.685295200806003,	366.9086856528743,	388.5939808536803,	63.78262122259656,	745.5365873015876,	809.3192085241842,	8005.464188722597,	65586.02643328253,	73591.49062200513,	
RNN4_NG_8,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	43159.1839224,	49980.1291692,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	7227.101974526984,	7227.101974526984,	7227.101974526984,	21681.305923580952,	22802.042244280954,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	32.0584913042475,	263.2509395848638,	295.30943088911124,	21.685295200806003,	366.9086856528743,	388.5939808536803,	63.78262122259656,	745.5365873015876,	809.3192085241842,	8005.464188722597,	65586.02643328253,	73591.49062200513,	
RNN4_ptwise1_8,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	842.7097896,	887.5488444,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	141.11364096507936,	141.11364096507936,	141.11364096507936,	423.34092289523807,	429.50523869523806,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	1.1873515297869444,	5.140137596402136,	6.32748912618908,	0.8031590815113334,	7.164119271691558,	7.967278353202891,	2.3920640000000004,	14.557063492063497,	16.949127492063496,	53.395434599999994,	1280.6077759873015,	1334.0032105873015,	
RNN4_ptwise2_8,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	842.7097896,	887.5488444,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	141.11364096507936,	141.11364096507936,	141.11364096507936,	423.34092289523807,	429.50523869523806,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	1.1873515297869444,	5.140137596402136,	6.32748912618908,	0.8031590815113334,	7.164119271691558,	7.967278353202891,	2.3920640000000004,	14.557063492063497,	16.949127492063496,	53.395434599999994,	1280.6077759873015,	1334.0032105873015,	
RNN4_FG_9,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	43159.1839224,	49980.1291692,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	7227.101974526984,	7227.101974526984,	7227.101974526984,	21681.305923580952,	22802.042244280954,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	32.0584913042475,	263.2509395848638,	295.30943088911124,	21.685295200806003,	366.9086856528743,	388.5939808536803,	63.78262122259656,	745.5365873015876,	809.3192085241842,	8005.464188722597,	65586.02643328253,	73591.49062200513,	
RNN4_NG_9,	GEMM,	104.73807160000001,	6695.992303600001,	0.0,	20.2148716,	6820.945246800001,	43159.1839224,	49980.1291692,	69.556207,	901.76608,	72.1059456,	77.30808809999999,	1120.7363207,	7227.101974526984,	7227.101974526984,	7227.101974526984,	21681.305923580952,	22802.042244280954,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	5.0194173587715305,	57.68848103192473,	62.70789839069626,	32.0584913042475,	263.2509395848638,	295.30943088911124,	21.685295200806003,	366.9086856528743,	388.5939808536803,	63.78262122259656,	745.5365873015876,	809.3192085241842,	8005.464188722597,	65586.02643328253,	73591.49062200513,	
RNN4_ptwise1_9,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	842.7097896,	887.5488444,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	141.11364096507936,	141.11364096507936,	141.11364096507936,	423.34092289523807,	429.50523869523806,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	1.1873515297869444,	5.140137596402136,	6.32748912618908,	0.8031590815113334,	7.164119271691558,	7.967278353202891,	2.3920640000000004,	14.557063492063497,	16.949127492063496,	53.395434599999994,	1280.6077759873015,	1334.0032105873015,	
RNN4_ptwise2_9,	GEMM,	21.0823916,	21.0823916,	0.0,	2.6742716,	44.8390548,	842.7097896,	887.5488444,	2.818019,	2.818019,	0.2166645,	0.3116133,	6.164315800000001,	141.11364096507936,	141.11364096507936,	141.11364096507936,	423.34092289523807,	429.50523869523806,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	0.20077669435086123,	1.1264033119849017,	1.327180006335763,	1.1873515297869444,	5.140137596402136,	6.32748912618908,	0.8031590815113334,	7.164119271691558,	7.967278353202891,	2.3920640000000004,	14.557063492063497,	16.949127492063496,	53.395434599999994,	1280.6077759873015,	1334.0032105873015,	
FC5,	GEMM,	21.0823916,	104.73807160000001,	0.0,	2.6742716,	128.4947348,	1159.432932,	1287.9276668,	2.818019,	14.090095,	1.0833225,	1.3847349,	19.376171400000004,	194.14964025396824,	194.14964025396824,	194.14964025396824,	582.4489207619047,	601.8250921619046,	0.20077669435086123,	1.5497495232007037,	1.750526217551565,	0.20077669435086123,	1.5497495232007037,	1.750526217551565,	1.1873515297869444,	7.072001391023073,	8.259352920810016,	0.8031590815113334,	9.856674165750128,	10.659833247261462,	2.3920640000000004,	20.02817460317461,	22.42023860317461,	150.2629702,	1761.9100273650793,	1912.1729975650792,	
FC6,	GEMM,	21.0823916,	41.9963116,	0.0,	2.6742716,	65.7529748,	921.8905751999998,	987.6435499999998,	2.818019,	5.636038,	0.433329,	0.5798937,	9.4672797,	154.37264078730158,	154.37264078730158,	154.37264078730158,	463.11792236190473,	472.58520206190474,	0.20077669435086123,	1.232239864788852,	1.4330165591397133,	0.20077669435086123,	1.232239864788852,	1.4330165591397133,	1.1873515297869444,	5.623103545057369,	6.810455074844314,	0.8031590815113334,	7.837257995206199,	8.640417076717533,	2.3920640000000004,	15.924841269841272,	18.31690526984127,	77.61231850000001,	1400.9333388317457,	1478.5456573317456,	
eyeriss_08b_bp_001c_uBrain_t4_ddr3_w__spm,	All,	20190.344659200036,	3103701.682111204,	0.0,	12100.151703200012,	3135992.178473599,	13787682.32728322,	16923674.50575681,	35350.155021,	416931.3649359994,	39957.05042550007,	42170.316258599974,	534408.8866410994,	2308778.2741865604,	2308778.2741865604,	2308778.2741865604,	6926334.822559692,	7460743.709200787,	2301.678926951475,	18429.228222706617,	20730.90714965811,	2217.03900173919,	18429.228222706617,	20646.267224445823,	15214.57408374868,	84098.4466685228,	99313.02075227146,	10291.580075601061,	117213.0689495561,	127504.64902515704,	30024.87208804036,	238169.97206349217,	268194.84415153286,	3700425.937202733,	20952187.121906348,	24652613.059109118,	
