Layer,	Type,	Cycle Total (Cycles),	Time Total (Secs),	Throughput (Frames/sec),	
RNN4_FG_3,	GEMM,	7631.0,	0.00019077500000000002,	5241.7769623902495,	
RNN4_NG_3,	GEMM,	7631.0,	0.00019077500000000002,	5241.7769623902495,	
RNN4_ptwise1_3,	GEMM,	149.0,	3.725e-06,	268456.3758389262,	
RNN4_ptwise2_3,	GEMM,	149.0,	3.725e-06,	268456.3758389262,	
RNN4_FG_4,	GEMM,	7631.0,	0.00019077500000000002,	5241.7769623902495,	
RNN4_NG_4,	GEMM,	7631.0,	0.00019077500000000002,	5241.7769623902495,	
RNN4_ptwise1_4,	GEMM,	149.0,	3.725e-06,	268456.3758389262,	
RNN4_ptwise2_4,	GEMM,	149.0,	3.725e-06,	268456.3758389262,	
RNN4_FG_5,	GEMM,	7631.0,	0.00019077500000000002,	5241.7769623902495,	
RNN4_NG_5,	GEMM,	7631.0,	0.00019077500000000002,	5241.7769623902495,	
RNN4_ptwise1_5,	GEMM,	149.0,	3.725e-06,	268456.3758389262,	
RNN4_ptwise2_5,	GEMM,	149.0,	3.725e-06,	268456.3758389262,	
RNN4_FG_6,	GEMM,	7631.0,	0.00019077500000000002,	5241.7769623902495,	
RNN4_NG_6,	GEMM,	7631.0,	0.00019077500000000002,	5241.7769623902495,	
RNN4_ptwise1_6,	GEMM,	149.0,	3.725e-06,	268456.3758389262,	
RNN4_ptwise2_6,	GEMM,	149.0,	3.725e-06,	268456.3758389262,	
RNN4_FG_7,	GEMM,	7631.0,	0.00019077500000000002,	5241.7769623902495,	
RNN4_NG_7,	GEMM,	7631.0,	0.00019077500000000002,	5241.7769623902495,	
RNN4_ptwise1_7,	GEMM,	149.0,	3.725e-06,	268456.3758389262,	
RNN4_ptwise2_7,	GEMM,	149.0,	3.725e-06,	268456.3758389262,	
RNN4_FG_8,	GEMM,	7631.0,	0.00019077500000000002,	5241.7769623902495,	
RNN4_NG_8,	GEMM,	7631.0,	0.00019077500000000002,	5241.7769623902495,	
RNN4_ptwise1_8,	GEMM,	149.0,	3.725e-06,	268456.3758389262,	
RNN4_ptwise2_8,	GEMM,	149.0,	3.725e-06,	268456.3758389262,	
RNN4_FG_9,	GEMM,	7631.0,	0.00019077500000000002,	5241.7769623902495,	
RNN4_NG_9,	GEMM,	7631.0,	0.00019077500000000002,	5241.7769623902495,	
RNN4_ptwise1_9,	GEMM,	149.0,	3.725e-06,	268456.3758389262,	
RNN4_ptwise2_9,	GEMM,	149.0,	3.725e-06,	268456.3758389262,	
FC5,	GEMM,	205.0,	5.125e-06,	195121.95121951218,	
FC6,	GEMM,	163.0,	4.075e-06,	245398.773006135,	
eyeriss_08b_bp_001c_uBrain_t7_ddr3_w__spm,	All,	2437808.0,	0.06094520000000002,	16.408183089070175,	
