Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
RNN4_FG_2,	GEMM,	0.00020894040725222106,	0.013372186064142148,	0.0,	4.1788081450444215e-05,	0.013622914552844813,	0.0010447020362611052,	0.013372186064142148,	0.0010864901177115496,	0.0011282781991619937,	0.016631656417276795,	
RNN4_NG_2,	GEMM,	0.00020894040725222106,	0.013372186064142148,	0.0,	4.1788081450444215e-05,	0.013622914552844813,	0.0010447020362611052,	0.013372186064142148,	0.0010864901177115496,	0.0011282781991619937,	0.016631656417276795,	
RNN4_ptwise1_2,	GEMM,	0.0021401667754922136,	0.0021401667754922136,	0.0,	3.344010586706584e-05,	0.004313773656851493,	0.0021401667754922136,	0.0021401667754922136,	0.0001672005293353292,	0.00020064063520239503,	0.004648174715522152,	
RNN4_ptwise2_2,	GEMM,	0.0021401667754922136,	0.0021401667754922136,	0.0,	3.344010586706584e-05,	0.004313773656851493,	0.0021401667754922136,	0.0021401667754922136,	0.0001672005293353292,	0.00020064063520239503,	0.004648174715522152,	
RNN4_FG_3,	GEMM,	0.00020894040725222106,	0.013372186064142148,	0.0,	4.1788081450444215e-05,	0.013622914552844813,	0.0010447020362611052,	0.013372186064142148,	0.0010864901177115496,	0.0011282781991619937,	0.016631656417276795,	
RNN4_NG_3,	GEMM,	0.00020894040725222106,	0.013372186064142148,	0.0,	4.1788081450444215e-05,	0.013622914552844813,	0.0010447020362611052,	0.013372186064142148,	0.0010864901177115496,	0.0011282781991619937,	0.016631656417276795,	
RNN4_ptwise1_3,	GEMM,	0.0021401667754922136,	0.0021401667754922136,	0.0,	3.344010586706584e-05,	0.004313773656851493,	0.0021401667754922136,	0.0021401667754922136,	0.0001672005293353292,	0.00020064063520239503,	0.004648174715522152,	
RNN4_ptwise2_3,	GEMM,	0.0021401667754922136,	0.0021401667754922136,	0.0,	3.344010586706584e-05,	0.004313773656851493,	0.0021401667754922136,	0.0021401667754922136,	0.0001672005293353292,	0.00020064063520239503,	0.004648174715522152,	
RNN4_FG_4,	GEMM,	0.00020894040725222106,	0.013372186064142148,	0.0,	4.1788081450444215e-05,	0.013622914552844813,	0.0010447020362611052,	0.013372186064142148,	0.0010864901177115496,	0.0011282781991619937,	0.016631656417276795,	
RNN4_NG_4,	GEMM,	0.00020894040725222106,	0.013372186064142148,	0.0,	4.1788081450444215e-05,	0.013622914552844813,	0.0010447020362611052,	0.013372186064142148,	0.0010864901177115496,	0.0011282781991619937,	0.016631656417276795,	
RNN4_ptwise1_4,	GEMM,	0.0021401667754922136,	0.0021401667754922136,	0.0,	3.344010586706584e-05,	0.004313773656851493,	0.0021401667754922136,	0.0021401667754922136,	0.0001672005293353292,	0.00020064063520239503,	0.004648174715522152,	
RNN4_ptwise2_4,	GEMM,	0.0021401667754922136,	0.0021401667754922136,	0.0,	3.344010586706584e-05,	0.004313773656851493,	0.0021401667754922136,	0.0021401667754922136,	0.0001672005293353292,	0.00020064063520239503,	0.004648174715522152,	
