Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
FC3_1,	GEMM,	0.0005884659365530367,	0.15064727975757738,	0.0,	4.2797522658402666e-05,	0.15127854321678882,	0.011180852794507696,	0.15064727975757738,	0.01253967413891198,	0.012582471661570383,	0.18695027835256744,	
FC3_2,	GEMM,	0.0005884659365530367,	0.15064727975757738,	0.0,	4.2797522658402666e-05,	0.15127854321678882,	0.011180852794507696,	0.15064727975757738,	0.01253967413891198,	0.012582471661570383,	0.18695027835256744,	
FC3_3,	GEMM,	0.0005884659365530367,	0.15064727975757738,	0.0,	4.2797522658402666e-05,	0.15127854321678882,	0.011180852794507696,	0.15064727975757738,	0.01253967413891198,	0.012582471661570383,	0.18695027835256744,	
FC3_4,	GEMM,	0.0005884659365530367,	0.15064727975757738,	0.0,	4.2797522658402666e-05,	0.15127854321678882,	0.011180852794507696,	0.15064727975757738,	0.01253967413891198,	0.012582471661570383,	0.18695027835256744,	
FC3_5,	GEMM,	0.0005884659365530367,	0.15064727975757738,	0.0,	4.2797522658402666e-05,	0.15127854321678882,	0.011180852794507696,	0.15064727975757738,	0.01253967413891198,	0.012582471661570383,	0.18695027835256744,	
FC3_6,	GEMM,	0.0005884659365530367,	0.15064727975757738,	0.0,	4.2797522658402666e-05,	0.15127854321678882,	0.011180852794507696,	0.15064727975757738,	0.01253967413891198,	0.012582471661570383,	0.18695027835256744,	
FC3_7,	GEMM,	0.0005884659365530367,	0.15064727975757738,	0.0,	4.2797522658402666e-05,	0.15127854321678882,	0.011180852794507696,	0.15064727975757738,	0.01253967413891198,	0.012582471661570383,	0.18695027835256744,	
FC3_8,	GEMM,	0.0005884659365530367,	0.15064727975757738,	0.0,	4.2797522658402666e-05,	0.15127854321678882,	0.011180852794507696,	0.15064727975757738,	0.01253967413891198,	0.012582471661570383,	0.18695027835256744,	
FC3_9,	GEMM,	0.0005884659365530367,	0.15064727975757738,	0.0,	4.2797522658402666e-05,	0.15127854321678882,	0.011180852794507696,	0.15064727975757738,	0.01253967413891198,	0.012582471661570383,	0.18695027835256744,	
RNN4_FG_0,	GEMM,	0.0015621712691754846,	0.09997896122723102,	0.0,	0.00031243425383509693,	0.1018535667502416,	0.007810856345877424,	0.09997896122723102,	0.008123290599712521,	0.008435724853547618,	0.12434883302636858,	
RNN4_NG_0,	GEMM,	0.0015621712691754846,	0.09997896122723102,	0.0,	0.00031243425383509693,	0.1018535667502416,	0.007810856345877424,	0.09997896122723102,	0.008123290599712521,	0.008435724853547618,	0.12434883302636858,	
RNN4_ptwise1_0,	GEMM,	0.016001246919567953,	0.016001246919567953,	0.0,	0.00025001948311824927,	0.03225251332225416,	0.016001246919567953,	0.016001246919567953,	0.0012500974155912465,	0.0015001168987094956,	0.03475270815343665,	
RNN4_ptwise2_0,	GEMM,	0.016001246919567953,	0.016001246919567953,	0.0,	0.00025001948311824927,	0.03225251332225416,	0.016001246919567953,	0.016001246919567953,	0.0012500974155912465,	0.0015001168987094956,	0.03475270815343665,	
RNN4_FG_1,	GEMM,	0.0015621712691754846,	0.09997896122723102,	0.0,	0.00031243425383509693,	0.1018535667502416,	0.007810856345877424,	0.09997896122723102,	0.008123290599712521,	0.008435724853547618,	0.12434883302636858,	
RNN4_NG_1,	GEMM,	0.0015621712691754846,	0.09997896122723102,	0.0,	0.00031243425383509693,	0.1018535667502416,	0.007810856345877424,	0.09997896122723102,	0.008123290599712521,	0.008435724853547618,	0.12434883302636858,	
RNN4_ptwise1_1,	GEMM,	0.016001246919567953,	0.016001246919567953,	0.0,	0.00025001948311824927,	0.03225251332225416,	0.016001246919567953,	0.016001246919567953,	0.0012500974155912465,	0.0015001168987094956,	0.03475270815343665,	
RNN4_ptwise2_1,	GEMM,	0.016001246919567953,	0.016001246919567953,	0.0,	0.00025001948311824927,	0.03225251332225416,	0.016001246919567953,	0.016001246919567953,	0.0012500974155912465,	0.0015001168987094956,	0.03475270815343665,	
RNN4_FG_2,	GEMM,	0.0015621712691754846,	0.09997896122723102,	0.0,	0.00031243425383509693,	0.1018535667502416,	0.007810856345877424,	0.09997896122723102,	0.008123290599712521,	0.008435724853547618,	0.12434883302636858,	
RNN4_NG_2,	GEMM,	0.0015621712691754846,	0.09997896122723102,	0.0,	0.00031243425383509693,	0.1018535667502416,	0.007810856345877424,	0.09997896122723102,	0.008123290599712521,	0.008435724853547618,	0.12434883302636858,	
RNN4_ptwise1_2,	GEMM,	0.016001246919567953,	0.016001246919567953,	0.0,	0.00025001948311824927,	0.03225251332225416,	0.016001246919567953,	0.016001246919567953,	0.0012500974155912465,	0.0015001168987094956,	0.03475270815343665,	
RNN4_ptwise2_2,	GEMM,	0.016001246919567953,	0.016001246919567953,	0.0,	0.00025001948311824927,	0.03225251332225416,	0.016001246919567953,	0.016001246919567953,	0.0012500974155912465,	0.0015001168987094956,	0.03475270815343665,	
RNN4_FG_3,	GEMM,	0.0015621712691754846,	0.09997896122723102,	0.0,	0.00031243425383509693,	0.1018535667502416,	0.007810856345877424,	0.09997896122723102,	0.008123290599712521,	0.008435724853547618,	0.12434883302636858,	
RNN4_NG_3,	GEMM,	0.0015621712691754846,	0.09997896122723102,	0.0,	0.00031243425383509693,	0.1018535667502416,	0.007810856345877424,	0.09997896122723102,	0.008123290599712521,	0.008435724853547618,	0.12434883302636858,	
RNN4_ptwise1_3,	GEMM,	0.016001246919567953,	0.016001246919567953,	0.0,	0.00025001948311824927,	0.03225251332225416,	0.016001246919567953,	0.016001246919567953,	0.0012500974155912465,	0.0015001168987094956,	0.03475270815343665,	
RNN4_ptwise2_3,	GEMM,	0.016001246919567953,	0.016001246919567953,	0.0,	0.00025001948311824927,	0.03225251332225416,	0.016001246919567953,	0.016001246919567953,	0.0012500974155912465,	0.0015001168987094956,	0.03475270815343665,	
