Layer,	Type,	DRAM I RD start,	DRAM I RD stop,	DRAM I RD bytes,	DRAM F RD start,	DRAM F RD stop,	DRAM F RD bytes,	DRAM O RD start,	DRAM O RD stop,	DRAM O RD bytes,	DRAM O WR start,	DRAM O WR stop,	DRAM O WR bytes,	SRAM I RD start,	SRAM I RD stop,	SRAM I RD bytes,	SRAM F RD start,	SRAM F RD stop,	SRAM F RD bytes,	SRAM O RD start,	SRAM O RD stop,	SRAM O RD bytes,	SRAM O WR start,	SRAM O WR stop,	SRAM O WR bytes,	
FC3_9,	GEMM,	-440.0,	-1.0,	3520.0,	-8192.0,	194997.0,	901120.0,	0,	0,	0.0,	214610.0,	214641.0,	256.0,	0.0,	214608.0,	66880.0,	0.0,	214608.0,	901120.0,	0.0,	214608.0,	75008.0,	25.0,	214609.0,	75264.0,	
RNN4_FG_0,	GEMM,	-40.0,	-1.0,	320.0,	-2560.0,	-1.0,	20480.0,	0,	0,	0.0,	5063.0,	5070.0,	64.0,	0.0,	5061.0,	1600.0,	0.0,	5061.0,	20480.0,	0.0,	5061.0,	1664.0,	25.0,	5062.0,	1728.0,	
RNN4_NG_0,	GEMM,	-40.0,	-1.0,	320.0,	-2560.0,	-1.0,	20480.0,	0,	0,	0.0,	5063.0,	5070.0,	64.0,	0.0,	5061.0,	1600.0,	0.0,	5061.0,	20480.0,	0.0,	5061.0,	1664.0,	25.0,	5062.0,	1728.0,	
RNN4_ptwise1_0,	GEMM,	-8.0,	-1.0,	64.0,	-8.0,	-1.0,	64.0,	0,	0,	0.0,	140.0,	140.0,	1.0,	0.0,	138.0,	64.0,	0.0,	138.0,	64.0,	0.0,	138.0,	5.0,	25.0,	139.0,	6.0,	
RNN4_ptwise2_0,	GEMM,	-8.0,	-1.0,	64.0,	-8.0,	-1.0,	64.0,	0,	0,	0.0,	140.0,	140.0,	1.0,	0.0,	138.0,	64.0,	0.0,	138.0,	64.0,	0.0,	138.0,	5.0,	25.0,	139.0,	6.0,	
RNN4_FG_1,	GEMM,	-40.0,	-1.0,	320.0,	-2560.0,	-1.0,	20480.0,	0,	0,	0.0,	5063.0,	5070.0,	64.0,	0.0,	5061.0,	1600.0,	0.0,	5061.0,	20480.0,	0.0,	5061.0,	1664.0,	25.0,	5062.0,	1728.0,	
RNN4_NG_1,	GEMM,	-40.0,	-1.0,	320.0,	-2560.0,	-1.0,	20480.0,	0,	0,	0.0,	5063.0,	5070.0,	64.0,	0.0,	5061.0,	1600.0,	0.0,	5061.0,	20480.0,	0.0,	5061.0,	1664.0,	25.0,	5062.0,	1728.0,	
RNN4_ptwise1_1,	GEMM,	-8.0,	-1.0,	64.0,	-8.0,	-1.0,	64.0,	0,	0,	0.0,	140.0,	140.0,	1.0,	0.0,	138.0,	64.0,	0.0,	138.0,	64.0,	0.0,	138.0,	5.0,	25.0,	139.0,	6.0,	
RNN4_ptwise2_1,	GEMM,	-8.0,	-1.0,	64.0,	-8.0,	-1.0,	64.0,	0,	0,	0.0,	140.0,	140.0,	1.0,	0.0,	138.0,	64.0,	0.0,	138.0,	64.0,	0.0,	138.0,	5.0,	25.0,	139.0,	6.0,	
RNN4_FG_2,	GEMM,	-40.0,	-1.0,	320.0,	-2560.0,	-1.0,	20480.0,	0,	0,	0.0,	5063.0,	5070.0,	64.0,	0.0,	5061.0,	1600.0,	0.0,	5061.0,	20480.0,	0.0,	5061.0,	1664.0,	25.0,	5062.0,	1728.0,	
RNN4_NG_2,	GEMM,	-40.0,	-1.0,	320.0,	-2560.0,	-1.0,	20480.0,	0,	0,	0.0,	5063.0,	5070.0,	64.0,	0.0,	5061.0,	1600.0,	0.0,	5061.0,	20480.0,	0.0,	5061.0,	1664.0,	25.0,	5062.0,	1728.0,	
RNN4_ptwise1_2,	GEMM,	-8.0,	-1.0,	64.0,	-8.0,	-1.0,	64.0,	0,	0,	0.0,	140.0,	140.0,	1.0,	0.0,	138.0,	64.0,	0.0,	138.0,	64.0,	0.0,	138.0,	5.0,	25.0,	139.0,	6.0,	
